split,variant_filter,n_rows,n_contexts,head,ctx_spearman,ctx_pearson,median_std_ratio,pooled_std_ratio,abs_r_L_plus_head,mean_abs_head
LOTO,all_variants,990,100,g,0.4891582491582491,0.27115585320379587,0.19542673658231838,0.5318988862220874,0.8699358794936924,3.134255605893585
LOTO,all_variants,990,100,g_global_gain,0.5044781144781145,0.3998491021191189,0.3805687563764373,1.1170541245195953,0.8494196218200107,7.095925305545848
LOTO,all_variants,990,100,g_variant_gain,0.5005387205387207,0.3342909044528913,0.4492615871852838,1.1771108356189526,0.8278193301874035,7.2479408103670835
LOTO,all_variants,990,100,g_context_gain,0.4638047138047138,0.3335598066527273,1.0657106515163561,1.0191544159799983,0.8441498745193989,6.8763646097947
LOTO,all_variants,990,100,g_shrink_gain,0.47340067340067343,0.3522481193260968,1.0012122454971404,1.016483925099177,0.8487204597471651,7.000727737094172
LOTO,all_variants,990,100,g_benchsim_gain,0.49491582491582486,0.2541680507976657,1.2927615697894688,2.4387002689101025,0.6432136020523156,13.999446876498023
LOTO,all_variants,990,100,g_profilesim_gain,0.48498316498316496,0.2731883738118691,0.9392171500505959,1.7804534096712434,0.7338715928497896,11.00143322822392
LOBO,all_variants,990,100,g,0.4965813264789487,0.44367841747728576,0.13115107170107443,0.4483603758338822,0.6939001971217129,2.865519161008318
LOBO,all_variants,990,100,g_global_gain,0.4965813264789487,0.4440799867881303,0.28859190424204983,1.0614057836943702,0.6430050692106402,6.677608045388186
LOBO,all_variants,990,100,g_variant_gain,0.4965813264789487,0.40980556966767234,0.3297329928717706,1.193500719710079,0.6286762149721445,7.419248989194817
LOBO,all_variants,990,100,g_context_gain,0.4965813264789487,0.40980556966767234,0.3297329928717706,1.193500719710079,0.6286762149721445,7.419248989194817
LOBO,all_variants,990,100,g_shrink_gain,0.4965813264789487,0.40980556966767234,0.3297329928717706,1.193500719710079,0.6286762149721445,7.419248989194817
LOBO,all_variants,990,100,g_benchsim_gain,0.4965813264789487,0.3933036564175193,0.9483583460372575,1.9760337199661937,0.5447995549226614,12.595841386993113
LOBO,all_variants,990,100,g_profilesim_gain,0.4965813264789487,0.37723630443967726,0.8916528572989317,1.5259963289209726,0.5919540568410364,10.023757030768989
JOINT,all_variants,990,100,g,0.5089562289562289,0.2713144442751699,0.20056896038225006,0.4241579234521956,0.003713192558078171,4.041326049725567
JOINT,all_variants,990,100,g_global_gain,0.5481818181818182,0.4155334658436621,0.35964782031228704,0.9386448613594156,0.03287900616354577,9.335714480777735
JOINT,all_variants,990,100,g_variant_gain,0.5146801346801347,0.3062471821781882,0.382061202172009,1.2215915662555852,0.0694626969939533,10.50189485940096
JOINT,all_variants,990,100,g_context_gain,0.5146801346801347,0.3062471821781882,0.382061202172009,1.2215915662555852,0.0694626969939533,10.50189485940096
JOINT,all_variants,990,100,g_shrink_gain,0.5146801346801347,0.3062471821781882,0.382061202172009,1.2215915662555852,0.0694626969939533,10.50189485940096
JOINT,all_variants,990,100,g_benchsim_gain,0.514983164983165,0.25863108845040195,1.197050153602596,2.0452251291750265,0.10429620937044194,23.414792661985018
JOINT,all_variants,990,100,g_profilesim_gain,0.4732659932659933,0.2866570628509949,0.9821037763343294,1.5935816633472344,0.14755057535963967,20.833989056638384
