space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,self_radius_k,radius_quantile,radius_train,radius_eval,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,p95_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,p95_nn_train_to_eval,weighted_distances,weighted_radius,radius_neighbor_agg,flow_image_h,flow_image_w
flow,imagenet2dwarp,train,kitti2012,val,8192,8192,10240000,397312,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,3.530830144882202e-05,8.603063461605312e-06,8.075797268247698e-06,1.6246922314167023e-05,1.8524006009101868e-05,0.02600213066988275,0.0037516355514526367,0.08324570953845978,0.1340256929397583,True,True,kth,512,512
flow,imagenet2dwarp,train,spair,test,8192,8192,10240000,88328,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.0030008554458618164,0.04401724588056178,8.922815322875977e-05,0.12737905979156494,0.28624069690704346,4.8321397771074095e-05,3.6638230085372925e-05,0.00010207295417785645,0.0001322031021118164,True,True,kth,512,512
flow,imagenet2dwarp,train,pfpascal,test,8192,2414,10240000,2414,sqL2,True,8192,2414,1,0.95,0.0005915164947509766,0.0010426044464111328,0.0005322272138857869,1.3738870620727539e-05,6.765127182006836e-05,0.00017219781875610352,0.0003152824149533461,8.334219455718994e-05,0.0006587430834770203,0.0011937618255615234,True,True,kth,512,512
flow,imagenet2dwarp,train,pfwillow,test,8192,8192,10240000,9000,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.00035321712493896484,0.0016730766369869848,1.5117228031158447e-05,0.0001067817211151123,0.0005418360233306885,9.692464982511124e-05,2.816319465637207e-05,0.0001913607120513916,0.00034672021865844727,True,True,kth,512,512
flow,imagenet2dwarp,train,pointodyssey,test,8192,8192,10240000,16000000,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.00010276399552822113,9.223605438286995e-06,7.515540346503258e-06,1.4800665667280555e-05,1.742516178637743e-05,0.001223422408634919,0.00024137645959854126,0.003099307417869568,0.005669236183166504,True,True,kth,512,512
flow,imagenet2dwarp,train,tss,val,8192,8192,10240000,819200,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,0.0013315677642822266,0.012194972376565067,1.2524425983428955e-05,8.054077625274658e-05,0.023336350917816162,0.0002527522859326349,2.1422281861305237e-05,0.0002959221601486206,0.0007352232933044434,True,True,kth,512,512
flow,imagenet2dwarp,train,middlebury,val,8192,8192,10240000,98304,sqL2,True,8192,8192,1,0.95,0.0005915164947509766,1.4901161193847656e-08,8.091292391062174e-06,6.915070116519928e-06,1.69435515999794e-05,1.9439496099948883e-05,0.09869977637510587,0.061766497790813446,0.24892215430736542,0.3160392940044403,True,True,kth,512,512
flow,synthetic_2d_warp,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.0006467252969741821,0.00024240618981859796,5.864796548848972e-06,2.0680949091911316e-05,3.673136234283447e-05,0.0012179737850598082,4.4815242290496826e-05,0.0014549493789672852,0.0036218464374542236,True,True,kth,512,512
flow,synthetic_2d_warp,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.00010410696268081665,7.879694592255137e-06,5.822454113513231e-06,1.5566407455480658e-05,2.0720064640045166e-05,0.03559858297632248,0.0003902595490217209,0.08664268255233765,0.18425855040550232,True,True,kth,512,512
flow,synthetic_2d_warp,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,1,0.95,0.001641392707824707,3.530830144882202e-05,6.412420104323921e-06,5.139270797371864e-06,1.3270881026983261e-05,1.6381964087486267e-05,0.04846764624669461,0.00253450870513916,0.12947392463684082,0.24527975916862488,True,True,kth,512,512
