space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,flyingthings,train,spair,test,6.0,0.0234375,0.00054931640625,0.45933339371433746,0.997788063366718,8192,8192
flow,flyingthings,train,spair,test,8.0,0.03125,0.0009765625,0.5392514265012227,0.9982956551746276,8192,8192
flow,flyingthings,train,spair,test,12.0,0.046875,0.002197265625,0.6469296259396794,0.9988659435991268,8192,8192
flow,flyingthings,train,spair,test,16.0,0.0625,0.00390625,0.7267457657820849,0.9991576918549906,8192,8192
flow,flyingthings,train,spair,test,24.0,0.09375,0.0087890625,0.8122679105153519,0.9994183425890258,8192,8192
flow,flyingthings,train,spair,test,32.0,0.125,0.015625,0.8673919934788515,0.999492575383068,8192,8192
flow,flyingthings,train,spair,test,48.0,0.1875,0.03515625,0.9386717688615162,0.999492575383068,8192,8192
flow,flyingthings,train,spair,test,64.0,0.25,0.0625,0.9674621863961598,0.999492575383068,8192,8192
flow,flyingthings,train,pfpascal,test,0.5,0.001953125,3.814697265625e-06,0.16487158243579123,0.09350539959981168,8192,2414
flow,flyingthings,train,pfpascal,test,0.75,0.0029296875,8.58306884765625e-06,0.2642916321458161,0.19695548573660332,8192,2414
flow,flyingthings,train,pfpascal,test,1.0,0.00390625,1.52587890625e-05,0.34589892294946145,0.3211813915104434,8192,2414
flow,flyingthings,train,pfpascal,test,1.5,0.005859375,3.4332275390625e-05,0.4855012427506214,0.569901628172616,8192,2414
flow,flyingthings,train,pfpascal,test,2.0,0.0078125,6.103515625e-05,0.5832642916321458,0.7520348813880329,8192,2414
flow,flyingthings,train,pfpascal,test,3.0,0.01171875,0.0001373291015625,0.7203811101905551,0.9150761788970211,8192,2414
flow,flyingthings,train,pfpascal,test,4.0,0.015625,0.000244140625,0.8032311516155758,0.9586762420283342,8192,2414
flow,flyingthings,train,pfpascal,test,6.0,0.0234375,0.00054931640625,0.8815244407622204,0.978241598987759,8192,2414
flow,flyingthings,train,pfpascal,test,8.0,0.03125,0.0009765625,0.927920463960232,0.9861249043667608,8192,2414
flow,flyingthings,train,pfpascal,test,12.0,0.046875,0.002197265625,0.968102734051367,0.9909099101448811,8192,2414
flow,flyingthings,train,pfpascal,test,16.0,0.0625,0.00390625,0.9863297431648715,0.9927684886470639,8192,2414
flow,flyingthings,train,pfpascal,test,24.0,0.09375,0.0087890625,0.995857497928749,0.9950407812232495,8192,2414
flow,flyingthings,train,pfpascal,test,32.0,0.125,0.015625,0.9983429991714996,0.996031220574388,8192,2414
flow,flyingthings,train,pfpascal,test,48.0,0.1875,0.03515625,1.0,0.9969910639766307,8192,2414
flow,flyingthings,train,pfpascal,test,64.0,0.25,0.0625,1.0,0.997589858462806,8192,2414
flow,flyingthings,train,pfwillow,test,0.5,0.001953125,3.814697265625e-06,0.18522222222222223,0.3382973170529447,8192,8192
flow,flyingthings,train,pfwillow,test,0.75,0.0029296875,8.58306884765625e-06,0.2688888888888889,0.5784664039762027,8192,8192
flow,flyingthings,train,pfwillow,test,1.0,0.00390625,1.52587890625e-05,0.3426666666666667,0.7497660998223763,8192,8192
flow,flyingthings,train,pfwillow,test,1.5,0.005859375,3.4332275390625e-05,0.462,0.8974986390654426,8192,8192
flow,flyingthings,train,pfwillow,test,2.0,0.0078125,6.103515625e-05,0.5583333333333333,0.9441408256291731,8192,8192
flow,flyingthings,train,pfwillow,test,3.0,0.01171875,0.0001373291015625,0.6896666666666667,0.9749888149236005,8192,8192
flow,flyingthings,train,pfwillow,test,4.0,0.015625,0.000244140625,0.766,0.985014589084703,8192,8192
flow,flyingthings,train,pfwillow,test,6.0,0.0234375,0.00054931640625,0.8505555555555555,0.9910856278623096,8192,8192
flow,flyingthings,train,pfwillow,test,8.0,0.03125,0.0009765625,0.8982222222222223,0.9925627601491611,8192,8192
flow,flyingthings,train,pfwillow,test,12.0,0.046875,0.002197265625,0.9417777777777778,0.9945779965973293,8192,8192
