train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc,eval_to_train_eps_at90,eval_to_train_eps_at95,train_to_eval_auc,train_to_eval_eps_at90,train_to_eval_eps_at95
flyingthings,train,flyingthings,test,63.45990884986023,0.5,0.5,63.475787622066136,0.5,0.5
flyingthings,train,kitti2012,val,63.49999842692896,0.5,0.5,58.35287349670232,17.352191371942716,35.90560996920873
flyingthings,train,kitti2015,val,63.49998255395419,0.5,0.5,60.37340695211851,7.440369102312741,20.94411342729344
flyingthings,train,middlebury,val,63.5,0.5,0.5,41.62759167959052,61.17869505630129,
flyingthings,train,pfpascal,test,63.48809030654515,0.5,0.5,62.05499222645551,2.906840768914736,3.826844457177873
flyingthings,train,pfwillow,test,63.45256944444444,0.5,0.5628272251308889,62.85578345566698,1.5283473791683249,2.1515822884348665
flyingthings,train,pointodyssey,test,63.4998300390625,0.5,0.5,63.17319426220628,0.5,0.5
flyingthings,train,spair,test,62.423622747033775,2.549214175654855,5.21700753498385,63.32846452307771,0.9270389092626192,1.1083167469267248
flyingthings,train,tss,val,63.28357299804687,0.5,1.1495674914504113,63.17566764373073,0.5,0.5
flyingthings_synthetic_30_70,train,flyingthings,test,63.46622266267475,0.5,0.5,63.433321703125,0.5,0.5
flyingthings_synthetic_30_70,train,kitti2012,val,63.49999685385792,0.5,0.5,48.067882546875,,
flyingthings_synthetic_30_70,train,kitti2015,val,63.49997000504405,0.5,0.5,52.0306765625,54.67049918558972,
flyingthings_synthetic_30_70,train,middlebury,val,63.5,0.5,0.5,24.543351703125,,
flyingthings_synthetic_30_70,train,pfpascal,test,63.49658243579122,0.5,0.5,59.7428091875,7.327638202392106,14.632612186404671
flyingthings_synthetic_30_70,train,pfwillow,test,63.47743055555556,0.5,0.5,61.28851429687499,3.9003283988120128,7.812288862104663
flyingthings_synthetic_30_70,train,pointodyssey,test,63.4999261015625,0.5,0.5,61.6650009453125,0.9445241080858711,5.443105373142849
flyingthings_synthetic_30_70,train,spair,test,62.81827817905986,0.7816625310173703,2.090872617853561,63.25587203125,1.1364654333008763,1.410749893714771
flyingthings_synthetic_30_70,train,tss,val,63.117739562988284,0.5,0.5315273155851352,61.884296328125004,0.8237347607368557,3.2822293002979612
flyingthings_synthetic_70_30,train,flyingthings,test,63.463835927932706,0.5,0.5,63.460917187499994,0.5,0.5
flyingthings_synthetic_70_30,train,kitti2012,val,63.49999968538579,0.5,0.5,54.09699630468751,40.78182276054234,
flyingthings_synthetic_70_30,train,kitti2015,val,63.49999326643846,0.5,0.5,56.9180733203125,25.62733213247959,56.76183679386243
flyingthings_synthetic_70_30,train,middlebury,val,63.5,0.5,0.5,34.3989558125,,
