space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
flow,flyingthings,train,kitti2015,val,train_to_eval,24.0,0.09375,0.0087890625,0.9560538515451121
flow,flyingthings,train,kitti2015,val,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,kitti2015,val,train_to_eval,32.0,0.125,0.015625,0.9663884274417908
flow,flyingthings,train,kitti2015,val,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,kitti2015,val,train_to_eval,48.0,0.1875,0.03515625,0.9785867647609571
flow,flyingthings,train,kitti2015,val,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,kitti2015,val,train_to_eval,64.0,0.25,0.0625,0.9854249593391543
flow,flyingthings,train,kitti2012,val,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9999924492590206
flow,flyingthings,train,kitti2012,val,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.6507332829085345
flow,flyingthings,train,kitti2012,val,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9999974830863402
flow,flyingthings,train,kitti2012,val,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.6744625311643982
flow,flyingthings,train,kitti2012,val,eval_to_train,1.0,0.00390625,1.52587890625e-05,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.6910161934493237
flow,flyingthings,train,kitti2012,val,eval_to_train,1.5,0.005859375,3.4332275390625e-05,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.7143146741514723
flow,flyingthings,train,kitti2012,val,eval_to_train,2.0,0.0078125,6.103515625e-05,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,2.0,0.0078125,6.103515625e-05,0.7315972055031245
flow,flyingthings,train,kitti2012,val,eval_to_train,3.0,0.01171875,0.0001373291015625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,3.0,0.01171875,0.0001373291015625,0.757751140911231
flow,flyingthings,train,kitti2012,val,eval_to_train,4.0,0.015625,0.000244140625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,4.0,0.015625,0.000244140625,0.7781769462367317
flow,flyingthings,train,kitti2012,val,eval_to_train,6.0,0.0234375,0.00054931640625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,6.0,0.0234375,0.00054931640625,0.810881507741611
flow,flyingthings,train,kitti2012,val,eval_to_train,8.0,0.03125,0.0009765625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,8.0,0.03125,0.0009765625,0.8352030300355248
flow,flyingthings,train,kitti2012,val,eval_to_train,12.0,0.046875,0.002197265625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,12.0,0.046875,0.002197265625,0.8705541411198853
flow,flyingthings,train,kitti2012,val,eval_to_train,16.0,0.0625,0.00390625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,16.0,0.0625,0.00390625,0.8947359753520373
flow,flyingthings,train,kitti2012,val,eval_to_train,24.0,0.09375,0.0087890625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,24.0,0.09375,0.0087890625,0.9258796418903014
flow,flyingthings,train,kitti2012,val,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,32.0,0.125,0.015625,0.9446519284476117
flow,flyingthings,train,kitti2012,val,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,48.0,0.1875,0.03515625,0.9665612193171118
flow,flyingthings,train,kitti2012,val,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,kitti2012,val,train_to_eval,64.0,0.25,0.0625,0.9783836277232066
flow,flyingthings,train,spair,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.6657684992301423
flow,flyingthings,train,spair,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.5309511461275894
flow,flyingthings,train,spair,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.7439543519608731
flow,flyingthings,train,spair,test,train_to_eval,0.75,0.0029296875,8.58306884765625e-06,0.8077299578143725
flow,flyingthings,train,spair,test,eval_to_train,1.0,0.00390625,1.52587890625e-05,0.7911647495697853
flow,flyingthings,train,spair,test,train_to_eval,1.0,0.00390625,1.52587890625e-05,0.938026233601909
flow,flyingthings,train,spair,test,eval_to_train,1.5,0.005859375,3.4332275390625e-05,0.8464133683543157
flow,flyingthings,train,spair,test,train_to_eval,1.5,0.005859375,3.4332275390625e-05,0.9932982332595018
flow,flyingthings,train,spair,test,eval_to_train,2.0,0.0078125,6.103515625e-05,0.8798229327053709
flow,flyingthings,train,spair,test,train_to_eval,2.0,0.0078125,6.103515625e-05,0.996677413702705
flow,flyingthings,train,spair,test,eval_to_train,3.0,0.01171875,0.0001373291015625,0.9165609999094285
flow,flyingthings,train,spair,test,train_to_eval,3.0,0.01171875,0.0001373291015625,0.9981446817218799
flow,flyingthings,train,spair,test,eval_to_train,4.0,0.015625,0.000244140625,0.9371999818856988
flow,flyingthings,train,spair,test,train_to_eval,4.0,0.015625,0.000244140625,0.9986181665703646
flow,flyingthings,train,spair,test,eval_to_train,6.0,0.0234375,0.00054931640625,0.9582352142016122
flow,flyingthings,train,spair,test,train_to_eval,6.0,0.0234375,0.00054931640625,0.9990103130082606
flow,flyingthings,train,spair,test,eval_to_train,8.0,0.03125,0.0009765625,0.9692736165202427
flow,flyingthings,train,spair,test,train_to_eval,8.0,0.03125,0.0009765625,0.9991886221858415
flow,flyingthings,train,spair,test,eval_to_train,12.0,0.046875,0.002197265625,0.9799723756906077
flow,flyingthings,train,spair,test,train_to_eval,12.0,0.046875,0.002197265625,0.9993472864235576
flow,flyingthings,train,spair,test,eval_to_train,16.0,0.0625,0.00390625,0.9855198804456118
flow,flyingthings,train,spair,test,train_to_eval,16.0,0.0625,0.00390625,0.9994176738251156
flow,flyingthings,train,spair,test,eval_to_train,24.0,0.09375,0.0087890625,0.9917127071823204
flow,flyingthings,train,spair,test,train_to_eval,24.0,0.09375,0.0087890625,0.9994669115680106
flow,flyingthings,train,spair,test,eval_to_train,32.0,0.125,0.015625,0.9940562449053528
flow,flyingthings,train,spair,test,train_to_eval,32.0,0.125,0.015625,0.9994863893168978
flow,flyingthings,train,spair,test,eval_to_train,48.0,0.1875,0.03515625,0.9967620686532017
flow,flyingthings,train,spair,test,train_to_eval,48.0,0.1875,0.03515625,0.99952893942069
flow,flyingthings,train,spair,test,eval_to_train,64.0,0.25,0.0625,0.9980527126166108
flow,flyingthings,train,spair,test,train_to_eval,64.0,0.25,0.0625,0.9995821897470467
