space,representation,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,mmd2,mmd
flow,flow,synthetic_random_flipping,train,kitti2015,val,16000000,408402,2.9865503311157227,1.728163861187857
flow,flow,synthetic_random_flipping,train,kitti2012,val,16000000,397312,3.594067096710205,1.8958024941196288
flow,flow,synthetic_random_flipping,train,spair,test,16000000,88328,0.05789383500814438,0.24061137755339912
flow,flow,synthetic_random_flipping,train,pfpascal,test,16000000,2414,0.21219904720783234,0.4606506780716081
flow,flow,synthetic_random_flipping,train,pfwillow,test,16000000,9000,0.16576962172985077,0.4071481569771018
flow,flow,synthetic_random_flipping,train,pointodyssey,test,16000000,16000000,5.275362491607666,2.2968157287008606
flow,flow,synthetic_random_flipping,train,tss,val,16000000,819200,0.3483813405036926,0.5902383760004873
flow,flow,synthetic_random_flipping,train,middlebury,val,16000000,98304,4.918229103088379,2.217708074361542
flow,flow,spair,train,flyingthings,test,371616,14319616,2.6696152687072754,1.6338957337318913
flow,flow,spair,train,kitti2015,val,371616,408402,3.6022114753723145,1.8979492815595242
flow,flow,spair,train,kitti2012,val,371616,397312,4.25115442276001,2.0618327824438163
flow,flow,spair,train,spair,test,371616,88328,0.00040716707007959485,0.020178381255184837
flow,flow,spair,train,pfpascal,test,371616,2414,0.41263943910598755,0.6423701729579196
flow,flow,spair,train,pfwillow,test,371616,9000,0.35342347621917725,0.5944943029324816
flow,flow,spair,train,pointodyssey,test,371616,16000000,5.956158638000488,2.440524254745379
flow,flow,spair,train,tss,val,371616,819200,0.6376739740371704,0.7985449104697684
flow,flow,spair,train,middlebury,val,371616,98304,5.46744441986084,2.338256705295815
flow,flow,pointodyssey,train,flyingthings,test,16000000,14319616,1.6807955503463745,1.2964549935676033
flow,flow,pointodyssey,train,kitti2015,val,16000000,408402,1.1389573812484741,1.0672194625513882
flow,flow,pointodyssey,train,kitti2012,val,16000000,397312,1.5616081953048706,1.249643227207218
flow,flow,pointodyssey,train,spair,test,16000000,88328,6.348735809326172,2.5196697818020066
flow,flow,pointodyssey,train,pfpascal,test,16000000,2414,4.9096598625183105,2.21577522833845
flow,flow,pointodyssey,train,pfwillow,test,16000000,9000,4.814700126647949,2.1942424949508084
flow,flow,pointodyssey,train,pointodyssey,test,16000000,16000000,0.06615007668733597,0.2571965720753991
flow,flow,pointodyssey,train,tss,val,16000000,819200,4.368216037750244,2.090027760042972
flow,flow,pointodyssey,train,middlebury,val,16000000,98304,6.474475860595703,2.5444991374719903
flow,flow,sintel,train,flyingthings,test,2131968,14319616,1.291808843612671,1.1365776892111998
flow,flow,sintel,train,kitti2015,val,2131968,408402,0.7860772013664246,0.8866099488311783
flow,flow,sintel,train,kitti2012,val,2131968,397312,1.1015675067901611,1.0495558616815788
flow,flow,sintel,train,spair,test,2131968,88328,5.8321614265441895,2.4149868377579597
flow,flow,sintel,train,pfpascal,test,2131968,2414,4.409382343292236,2.099852933729464
flow,flow,sintel,train,pfwillow,test,2131968,9000,4.314259052276611,2.07707945256714
flow,flow,sintel,train,pointodyssey,test,2131968,16000000,0.056162089109420776,0.23698541961357195
flow,flow,sintel,train,tss,val,2131968,819200,3.862591028213501,1.9653475591389684
flow,flow,sintel,train,middlebury,val,2131968,98304,6.157922744750977,2.481516218917575
flow,flow,spair_synthetic_30_70,train,flyingthings,test,16000000,14319616,1.4814064502716064,1.2171304162954792
flow,flow,spair_synthetic_30_70,train,kitti2015,val,16000000,408402,2.2947237491607666,1.5148345616471677
flow,flow,spair_synthetic_30_70,train,kitti2012,val,16000000,397312,2.849937677383423,1.688175843146508
