space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,distance_metric,flow_normalized,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps1px,train_covered_by_eval_eps1px,eval_covered_by_train_eps2px,train_covered_by_eval_eps2px,eval_covered_by_train_eps4px,train_covered_by_eval_eps4px,eval_covered_by_train_eps8px,train_covered_by_eval_eps8px,eval_covered_by_train_eps16px,train_covered_by_eval_eps16px,eval_covered_by_train_eps32px,train_covered_by_eval_eps32px,eval_covered_by_train_eps64px,train_covered_by_eval_eps64px
joint,flyingthings,train,flyingthings,test,11962368,14319616,sqL2,False,41.833824157714844,3.4632678031921387,28.444993019104004,56.16368865966797,50.4706916809082,3.1453747749328613,26.741321182251014,51.616479301452664,0.08464305188072083,0.09872075495420304,0.5350348780302489,0.558311866011813,0.8303085781071224,0.8389431757993067,0.9561845792512872,0.9603766578657336,0.9883997587644808,0.9891844992563346,0.9960918644745781,0.9962119540211436,0.998475936784897,0.9985846447793614
joint,flyingthings,train,spair,test,11962368,88328,sqL2,False,1147.227294921875,141.5012969970703,2988.937133789064,5948.997021484363,536.476318359375,249.84375,936.0,1397.2451721191412,0.001562358482021556,1.312449173942818e-05,0.02100126800108686,0.0003032008378274268,0.12060728194909881,0.004815852513482281,0.3528665881713613,0.06841245813537922,0.6015872656462277,0.5112048049349427,0.7958065392627479,0.9137483481531415,0.9249048999184857,0.9920347710419877
joint,flyingthings,train,tss,val,11962368,819200,sqL2,False,389.4122009277344,16.98967742919922,176.61225280761707,1236.4818176269512,634.4139404296875,62.61927795410156,996.0174011230476,1798.5401794433599,0.011435546875,0.0008430605044084917,0.132095947265625,0.017390703914141416,0.482099609375,0.16754416851245507,0.819720458984375,0.5043994633838383,0.912744140625,0.7266350608842664,0.9459326171875,0.902782375529661,0.974935302734375,0.9822361258239172
joint,flyingthings,train,kitti2015,val,11962368,408402,sqL2,False,7.484340190887451,3.1085641384124756,19.269489288330117,28.58663387298584,4898.79296875,441.4078063964844,16704.088476562516,23919.665917968752,0.1402760025660991,0.004592150985490498,0.5548968908085661,0.0325015080626177,0.8701059250444415,0.11388363909219312,0.994008354513445,0.2658939266874251,0.9999045058545257,0.4401504785674542,0.9999975514321673,0.5859324842706728,1.0,0.7288056177505993
joint,flyingthings,train,kitti2012,val,11962368,397312,sqL2,False,5.255124568939209,2.9050498008728027,12.22858533859254,17.459050559997547,3942.05810546875,353.61553955078125,12819.3095703125,18260.995117187507,0.1162486912048969,0.004067004124935799,0.5905182828608248,0.034205685697012496,0.9398533142719072,0.12616289684450435,0.999378322326031,0.2919136913360298,0.9999798646907216,0.4640248485918507,0.9999974830863402,0.6105299552730696,1.0,0.7586615793796011
joint,flyingthings,train,pfpascal,test,11962368,2414,sqL2,False,68.22803497314453,21.738861083984375,135.27473907470727,256.00086975097656,1074.7352294921875,608.875,1646.0321289062522,2437.713964843755,0.006628003314001657,1.4211233093648349e-06,0.09983429991714995,3.678201506591337e-05,0.39353769676884837,0.0006178542576185585,0.7845898922949461,0.009913338228685157,0.9498757249378624,0.13914795130863722,0.992129246064623,0.7629527866054614,1.0,0.9795228670443845
joint,flyingthings,train,pfwillow,test,11962368,9000,sqL2,False,138.452392578125,24.4191837310791,192.23335418701197,441.4700607299795,1637.46240234375,670.953125,3598.125,5183.777294921876,0.009888888888888888,7.022021058038007e-06,0.10622222222222222,0.00015022109334874166,0.37866666666666665,0.0022894296513867487,0.7425555555555555,0.028436175847457626,0.9207777777777778,0.21986257236025508,0.9763333333333334,0.6196452909658021,0.9945555555555555,0.9207199611314415
joint,imagenet2dwarp,train,flyingthings,test,10240000,14319616,sqL2,False,290.9048767089844,16.340526580810547,67.57494354248047,184.19231796264648,62.80948257446289,27.47638702392578,135.94448547363277,225.55414276123037,0.003893330659146167,0.0050931640625,0.076319574491383,0.0653025390625,0.49133496317219677,0.32521337890625,0.893919082746353,0.75962412109375,0.9565035123846897,0.95864287109375,0.9768028695741562,0.996619140625,0.9907989152781751,0.99998134765625
joint,imagenet2dwarp,train,spair,test,10240000,88328,sqL2,False,6516.55615234375,717.3960571289062,21472.9533203125,32234.65839843746,290.7870178222656,215.16015625,593.15625,797.15625,0.0018114301240829635,1.748046875e-05,0.029888597047368896,0.0003271484375,0.18237704918032788,0.00524912109375,0.3518816230413912,0.07709560546875,0.43708676750294356,0.59112939453125,0.5274884521329589,0.9754607421875,0.6687573589348791,0.999996484375
joint,imagenet2dwarp,train,tss,val,10240000,819200,sqL2,False,1782.487060546875,15.823505401611328,1859.794287109373,12682.654687499999,730.8097534179688,152.34109497070312,2078.721362304686,3457.154077148437,0.004794921875,0.0003943359375,0.092015380859375,0.008259765625,0.5036669921875,0.08597392578125,0.7937255859375,0.333841796875,0.850404052734375,0.5878828125,0.886053466796875,0.80456298828125,0.9173095703125,0.962707421875
