space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
joint,flyingthings,train,pfpascal,test,train_to_eval,2.0,,4.0,3.678201506591337e-05
joint,flyingthings,train,pfpascal,test,eval_to_train,4.0,,16.0,0.39353769676884837
joint,flyingthings,train,pfpascal,test,train_to_eval,4.0,,16.0,0.0006178542576185585
joint,flyingthings,train,pfpascal,test,eval_to_train,8.0,,64.0,0.7845898922949461
joint,flyingthings,train,pfpascal,test,train_to_eval,8.0,,64.0,0.009913338228685157
joint,flyingthings,train,pfpascal,test,eval_to_train,16.0,,256.0,0.9498757249378624
joint,flyingthings,train,pfpascal,test,train_to_eval,16.0,,256.0,0.13914795130863722
joint,flyingthings,train,pfpascal,test,eval_to_train,32.0,,1024.0,0.992129246064623
joint,flyingthings,train,pfpascal,test,train_to_eval,32.0,,1024.0,0.7629527866054614
joint,flyingthings,train,pfpascal,test,eval_to_train,64.0,,4096.0,1.0
joint,flyingthings,train,pfpascal,test,train_to_eval,64.0,,4096.0,0.9795228670443845
joint,flyingthings,train,pfwillow,test,eval_to_train,1.0,,1.0,0.009888888888888888
joint,flyingthings,train,pfwillow,test,train_to_eval,1.0,,1.0,7.022021058038007e-06
joint,flyingthings,train,pfwillow,test,eval_to_train,2.0,,4.0,0.10622222222222222
joint,flyingthings,train,pfwillow,test,train_to_eval,2.0,,4.0,0.00015022109334874166
joint,flyingthings,train,pfwillow,test,eval_to_train,4.0,,16.0,0.37866666666666665
joint,flyingthings,train,pfwillow,test,train_to_eval,4.0,,16.0,0.0022894296513867487
joint,flyingthings,train,pfwillow,test,eval_to_train,8.0,,64.0,0.7425555555555555
joint,flyingthings,train,pfwillow,test,train_to_eval,8.0,,64.0,0.028436175847457626
joint,flyingthings,train,pfwillow,test,eval_to_train,16.0,,256.0,0.9207777777777778
joint,flyingthings,train,pfwillow,test,train_to_eval,16.0,,256.0,0.21986257236025508
joint,flyingthings,train,pfwillow,test,eval_to_train,32.0,,1024.0,0.9763333333333334
joint,flyingthings,train,pfwillow,test,train_to_eval,32.0,,1024.0,0.6196452909658021
joint,flyingthings,train,pfwillow,test,eval_to_train,64.0,,4096.0,0.9945555555555555
joint,flyingthings,train,pfwillow,test,train_to_eval,64.0,,4096.0,0.9207199611314415
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,1.0,,1.0,0.003893330659146167
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,1.0,,1.0,0.0050931640625
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,2.0,,4.0,0.076319574491383
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,2.0,,4.0,0.0653025390625
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,4.0,,16.0,0.49133496317219677
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,4.0,,16.0,0.32521337890625
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,8.0,,64.0,0.893919082746353
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,8.0,,64.0,0.75962412109375
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,16.0,,256.0,0.9565035123846897
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,16.0,,256.0,0.95864287109375
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,32.0,,1024.0,0.9768028695741562
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,32.0,,1024.0,0.996619140625
joint,imagenet2dwarp,train,flyingthings,test,eval_to_train,64.0,,4096.0,0.9907989152781751
joint,imagenet2dwarp,train,flyingthings,test,train_to_eval,64.0,,4096.0,0.99998134765625
joint,imagenet2dwarp,train,spair,test,eval_to_train,1.0,,1.0,0.0018114301240829635
joint,imagenet2dwarp,train,spair,test,train_to_eval,1.0,,1.0,1.748046875e-05
joint,imagenet2dwarp,train,spair,test,eval_to_train,2.0,,4.0,0.029888597047368896
joint,imagenet2dwarp,train,spair,test,train_to_eval,2.0,,4.0,0.0003271484375
joint,imagenet2dwarp,train,spair,test,eval_to_train,4.0,,16.0,0.18237704918032788
joint,imagenet2dwarp,train,spair,test,train_to_eval,4.0,,16.0,0.00524912109375
