space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps0p5px_weighted,train_covered_by_eval_eps0p5px_weighted,eval_covered_by_train_eps0p75px_weighted,train_covered_by_eval_eps0p75px_weighted,eval_covered_by_train_eps1px_weighted,train_covered_by_eval_eps1px_weighted,eval_covered_by_train_eps1p5px_weighted,train_covered_by_eval_eps1p5px_weighted,eval_covered_by_train_eps2px_weighted,train_covered_by_eval_eps2px_weighted,eval_covered_by_train_eps3px_weighted,train_covered_by_eval_eps3px_weighted,eval_covered_by_train_eps4px_weighted,train_covered_by_eval_eps4px_weighted,eval_covered_by_train_eps6px_weighted,train_covered_by_eval_eps6px_weighted,eval_covered_by_train_eps8px_weighted,train_covered_by_eval_eps8px_weighted,eval_covered_by_train_eps12px_weighted,train_covered_by_eval_eps12px_weighted,eval_covered_by_train_eps16px_weighted,train_covered_by_eval_eps16px_weighted,eval_covered_by_train_eps24px_weighted,train_covered_by_eval_eps24px_weighted,eval_covered_by_train_eps32px_weighted,train_covered_by_eval_eps32px_weighted,eval_covered_by_train_eps48px_weighted,train_covered_by_eval_eps48px_weighted,eval_covered_by_train_eps64px_weighted,train_covered_by_eval_eps64px_weighted
flow,flyingthings,train,flyingthings,test,8192,8192,11962368,14319616,sqL2,True,8192,8192,0.0007869576802477241,9.492505341768265e-07,5.278959870338443e-05,0.00017944723367691032,0.0010095993056893349,9.290233720093966e-07,4.4885650277137775e-05,0.0001371361315250396,0.6965759417012299,0.6931279826870399,0.7738822744967463,0.772155646774953,0.8228874293835813,0.8193052579556155,0.8804477717838244,0.8797782345435285,0.9101249642448512,0.9126392868034156,0.9459958283797555,0.9512282183594418,0.9626552834936356,0.9667246484976888,0.9787606036362986,0.9800051294191919,0.9841195462224686,0.9852461485886407,0.9917397226294337,0.9915595306882383,0.9949282159521596,0.9948159093584147,0.9968790364210884,0.9968152626637135,0.9978978486573942,0.997681729904982,0.998647449764016,0.9986722528516093,0.9990367758465032,0.9991033547872796
flow,flyingthings,train,kitti2015,val,8192,8192,11962368,408402,sqL2,True,8192,8192,9.621615390642546e-06,7.280614227056503e-07,2.003610134124757e-05,4.1125714778900114e-05,0.012259844690561295,1.963519025593996e-06,0.0015259749721735728,0.009690728783607473,0.7310346178520184,0.5765937814319038,0.8213720794707176,0.6485429975068482,0.8802283044647186,0.6881189409989728,0.9416236943012032,0.7355214285332135,0.9691651852831279,0.7640589221130799,0.98916998447608,0.8021254654596816,0.9952277412941171,0.8278045784914826,0.9990621985200856,0.8613689195985277,0.9996596490712583,0.8846507647984078,1.0,0.9141162518992895,1.0,0.9303193147042459,1.0,0.9494805710708782,1.0,0.9621160292009073,1.0,0.9757486143211779,1.0,0.9837865713544341
flow,flyingthings,train,kitti2012,val,8192,8192,11962368,397312,sqL2,True,8192,8192,3.648148776846938e-06,5.830079317092896e-07,7.069064304232613e-06,1.3259891420602794e-05,0.015264551155269146,2.745466190390289e-06,0.0066643226891756075,0.02571016773581504,0.8264134987113402,0.5217403443866633,0.9197331064755154,0.573879435911017,0.9603888128221649,0.6016571300933059,0.9880673123389175,0.6367327104466273,0.9957967541881443,0.6654612197183701,0.9984797841494846,0.7037642547027478,0.9996728012242269,0.7320159353064544,0.9999748308634021,0.7752602996329824,0.9999924492590206,0.8063949378584575,1.0,0.848974467262669,1.0,0.8776399455358671,1.0,0.9138622052088683,1.0,0.9359198780709639,1.0,0.9611545138888888,1.0,0.9749587205476374
flow,flyingthings,train,spair,test,8192,8192,11962368,88328,sqL2,True,8192,8192,0.009158814325928688,0.0007437169551849365,0.021976494789123543,0.04552258253097533,0.0007160333916544914,2.5787390768527985e-05,6.599694024771452e-05,8.186365885194391e-05,0.03990806992120279,0.07555468950629173,0.06994384566615343,0.17269916792394283,0.09877954895389911,0.30587447234527476,0.15389231047912327,0.6297239810713063,0.2063558554478761,0.878168937788906,0.29526311022552304,0.9894622034700822,0.3571234489629563,0.9955879972928436,0.45933339371433746,0.997788063366718,0.5392514265012227,0.9982956551746276,0.6469296259396794,0.9988659435991268,0.7267457657820849,0.9991576918549906,0.8122679105153519,0.9994183425890258,0.8673919934788515,0.999492575383068,0.9386717688615162,0.999492575383068,0.9674621863961598,0.999492575383068
flow,flyingthings,train,pfpascal,test,8192,2414,11962368,2414,sqL2,True,8192,2414,0.0003218534111510962,3.796815872192383e-05,0.000693190097808838,0.0015015751123428332,0.004261060152202845,2.7532922104001045e-05,0.0001229200322995894,0.00020670145750045774,0.16487158243579123,0.09350539959981168,0.2642916321458161,0.19695548573660332,0.34589892294946145,0.3211813915104434,0.4855012427506214,0.569901628172616,0.5832642916321458,0.7520348813880329,0.7203811101905551,0.9150761788970211,0.8032311516155758,0.9586762420283342,0.8815244407622204,0.978241598987759,0.927920463960232,0.9861249043667608,0.968102734051367,0.9909099101448811,0.9863297431648715,0.9927684886470639,0.995857497928749,0.9950407812232495,0.9983429991714996,0.996031220574388,1.0,0.9969910639766307,1.0,0.997589858462806
flow,flyingthings,train,pfwillow,test,8192,8192,11962368,9000,sqL2,True,8192,8192,0.0006666318513453007,4.4910237193107605e-05,0.0009704351425170899,0.0024279043078422524,0.003981694113463163,6.507616490125656e-06,3.4946203231811534e-05,6.890371441841124e-05,0.18522222222222223,0.3382973170529447,0.2688888888888889,0.5784664039762027,0.3426666666666667,0.7497660998223763,0.462,0.8974986390654426,0.5583333333333333,0.9441408256291731,0.6896666666666667,0.9749888149236005,0.766,0.985014589084703,0.8505555555555555,0.9910856278623096,0.8982222222222223,0.9925627601491611,0.9417777777777778,0.9945779965973293,0.9625555555555556,0.9956483532357473,0.9798888888888889,0.9963987063430919,0.9887777777777778,0.9968971026472351,0.9972222222222222,0.9977165892238059,1.0,0.9979519105247389
flow,flyingthings,train,pointodyssey,test,8192,8192,11962368,16000000,sqL2,True,8192,8192,1.270312895940151e-05,2.1280720829963684e-07,4.448043182492266e-06,1.5516392886638623e-05,0.006575861480087042,1.6186386346817017e-06,0.00016529411077499396,0.0006727844476699822,0.91371625,0.6137868355161787,0.9460221875,0.7019414550697655,0.9606080625,0.7497385133110769,0.977108375,0.8121550850132683,0.9835180625,0.8469318950896678,0.99042775,0.8878589924670434,0.99415775,0.9149445995976716,0.9967591875,0.945894575388418,0.9983265,0.961519575388418,0.999612125,0.9779934039815528,0.9998770625,0.9842879770961735,1.0,0.9899824181967984,1.0,0.9922061417939994,1.0,0.9945130429025424,1.0,0.9957867037696884
flow,flyingthings,train,tss,val,8192,8192,11962368,819200,sqL2,True,8192,8192,0.002077477751299739,2.0517967641353607e-05,0.0007143333554267918,0.007140813767909998,0.004104487132281065,3.5623088479042053e-06,1.7967075109481832e-05,5.295686423778524e-05,0.246453857421875,0.5273952448210922,0.357669677734375,0.8180549202298408,0.451756591796875,0.8859731618355162,0.595247802734375,0.9354826736646122,0.691993408203125,0.9559522830262369,0.790540771484375,0.9729170679250129,0.8402294921875,0.9798343438356018,0.8864306640625,0.9858700217214518,0.906951904296875,0.9882357740541003,0.925614013671875,0.9914579621693631,0.9363623046875,0.9923730819851053,0.952293701171875,0.9935281208536637,0.96473876953125,0.9946960334274952,0.982518310546875,0.9954231469889574,0.991517333984375,0.9967151152681476
flow,flyingthings,train,middlebury,val,8192,8192,11962368,98304,sqL2,True,8192,8192,1.884927951323334e-05,3.958120942115784e-06,4.941262304782875e-05,9.632688015699385e-05,0.035759881138801575,0.003391330363228917,0.0532433412969113,0.11532576642930507,0.480621337890625,0.005277884780003424,0.6930745442708334,0.008337563265065913,0.8126118977864584,0.010940893976844718,0.911224365234375,0.01801541300184044,0.9389851888020834,0.02594803971922616,0.9786376953125,0.04417076953325629,0.9967142740885416,0.06757842594375962,0.9998982747395834,0.13572153941426982,1.0,0.22854505061205274,1.0,0.4034302405677538,1.0,0.5303162383902585,1.0,0.6830097519153399,1.0,0.7678731334799264,1.0,0.8598891958515237,1.0,0.9086095662664784
flow,imagenet2dwarp,train,flyingthings,test,8192,8192,10240000,14319616,sqL2,True,8192,8192,0.005023982375860214,9.021990990731865e-06,2.0682346075773243e-05,3.0317530035972586e-05,0.00029662897577509284,6.151571869850159e-05,0.0007351785898208619,0.0013462305068969722,0.21360258543245852,0.10723662109375,0.48003263495333953,0.1801150390625,0.7881563304490846,0.24955302734375,0.9600531885771239,0.3850939453125,0.975777562750286,0.49993701171875,0.9856778282322655,0.662494140625,0.9892267362476759,0.76171904296875,0.9922972794801201,0.87017822265625,0.9930814485528103,0.9298607421875,0.9944872125062572,0.97985087890625,0.9945986680089746,0.99502099609375,0.9952629316316862,0.99930029296875,0.995964347088637,0.9999251953125,0.9965656201954018,1.0,0.9973410599837315,1.0
