dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
imagenet2dwarp,train,kitti2015,val,flow,1,first,1,0.95,5.908912849426264,2.0486514925956714,0.370202,0.005112,0.994888,0.370202,0.005112,9.842049598693848,7.524349212646484,19.109140586853027,77.13351440429688,65.60084533691406,155.40109863281248,knn,20,50,1e-06,5.8277390000005,7.7061700000005,1000000,1000000,2.028902954405519,4.554473591739162,2.032496158793287,4.575375005405437,3.3725508853842827,14.485159898478736,0.11007127925215993,0.16001517788360628,2.0289028069059754,4.554472914489824
imagenet2dwarp,train,kitti2012,val,flow,1,first,1,0.95,5.908912849426264,2.8009579181671143,0.333902,0.010476,0.989524,0.333902,0.010476,9.456403732299805,7.5919694900512695,17.412275505065917,79.9726791381836,72.87135314941406,150.24551849365233,knn,20,50,1e-06,5.7845890000005,8.0433240000005,1000000,1000000,2.2499048350708213,7.20346697016356,2.2522347342642535,6.542788063614875,2.984403927719356,15.486655480276003,0.1718710304570529,0.2232772598371397,2.2499047861445067,7.203466967799459
imagenet2dwarp,train,spair,test,flow,1,first,1,0.95,5.908912849426264,41.9192665100098,0.0713319505816575,0.840054,0.15994600000000003,0.0713319505816575,0.840054,76.09449005126953,49.58427429199219,191.34476013183598,29.516965866088867,26.02325439453125,49.3812629699707,knn,20,50,1e-06,4.111905754465647,3.121973346989442,1000000,11089,1.3670159719941888,0.873583449724705,4.984824735438859,0.8913106067625155,3.226325470900856,2.258843689908872,1.0984287068863785,0.7567849423817403,1.3670159764304628,0.8735834474500567
imagenet2dwarp,train,pfpascal,test,flow,1,first,1,0.95,5.908912849426264,52.865956306457505,0.15990057995028997,0.907056,0.09294400000000003,0.15990057995028997,0.907056,19.66429901123047,12.867505073547363,42.25810928344738,32.37144470214844,29.491806030273438,51.835805892944336,knn,20,50,1e-06,1.3529418821745782,2.318494343693703,1000000,2414,1.2512136773495746,0.7830046711519861,1.5392781230739851,0.7790535160615095,2.5021181983540477,1.918448482017532,0.3902426076146871,0.27343976051084645,1.2512134495263512,0.7830041383752685
imagenet2dwarp,train,pfwillow,test,flow,1,first,1,0.95,5.908912849426264,31.55690164566035,0.17555555555555555,0.634248,0.36575199999999997,0.17555555555555555,0.634248,23.423450469970703,12.884178161621094,56.46824760437012,31.716238021850586,25.5941162109375,59.16813735961913,knn,20,50,1e-06,2.2637661678886585,2.651056798354582,1000000,9000,0.788269282921921,0.48234851831162606,0.9442082022575089,0.48848195188641,1.1343877829973186,0.7819857297272905,0.268429385157908,0.1884530650563986,0.7882691382538921,0.4823482612979791
imagenet2dwarp,train,pointodyssey,test,flow,1,first,1,0.95,5.908912849426264,1.419727087020874,0.187653,0.000292,0.999708,0.187653,0.000292,12.482222557067871,10.767829895019531,22.968103408813477,76.97389221191406,72.04935455322266,134.8784439086914,knn,20,50,1e-06,40.9325930000005,8.029053500000499,1000000,1000000,2.474130753619094,17.002358366553757,2.4754192072401824,17.05984049730283,5.155741178911786,23.409573408771525,0.15196429477604714,0.07097623903323759,2.47423425730959,17.002391835448172
imagenet2dwarp,train,flyingthings,test,flow,1,first,1,0.95,5.908912849426264,6.390282559394828,0.147756,0.189995,0.810005,0.147756,0.189995,93.5364990234375,13.599773406982422,49.63712348937988,17.77976417541504,12.397126197814941,37.330633544921874,knn,20,50,1e-06,3.3118125000005,3.5300310000005,1000000,1000000,0.040610190357820625,0.025292999684288612,0.19058051633295517,0.02786591773756617,0.06467606024049488,0.040293282613039536,0.027477712430241955,0.019015547523457674,0.04061019782006104,0.025293007833042603
imagenet2dwarp,train,tss,val,flow,1,first,1,0.95,5.908912849426264,6.168407607078552,0.189555,0.267298,0.732702,0.189555,0.267298,31.31697654724121,11.996302604675293,99.34989929199217,18.574901580810547,10.984304428100586,44.03285179138184,knn,20,50,1e-06,3.1279355000005,3.4383220000005,1000000,1000000,0.39107928519775786,0.12674028348578775,0.8420204199688135,0.12764491282649854,0.4496214584198984,0.13447911374792526,0.2762279194194122,0.1173754133705118,0.3910792762807951,0.12674027327798476
imagenet2dwarp,train,middlebury,val,flow,1,first,1,0.95,5.908912849426264,2.1497166395187377,0.159496,0.003683,0.996317,0.159496,0.003683,15.253657341003418,12.251258850097656,30.447422218322753,70.2853775024414,63.983131408691406,131.56273040771484,knn,20,50,1e-06,6.6037425000005,7.4291765000005,1000000,1000000,1.5472976462945163,10.866086162321247,1.5490986769271433,10.077311796970159,2.9853639803671226,19.975786487470913,0.09985133622945791,0.09640170510954253,1.5472977130383778,10.866070302522168
spair_2d_warp_70_30,train,kitti2015,val,flow,1,first,1,0.95,2.245116710662842,2.0486514925956714,0.001677,0.002637,0.997363,0.001677,0.002637,44.159183502197266,41.436790466308594,73.17049560546874,70.03408813476562,64.27806854248047,120.79754791259764,knn,20,50,1e-06,10.2676970000005,13.4884380000005,1000000,1000000,0.3234237180932763,0.5075365514378947,0.32292042696635903,0.5092305751747064,0.42498596764245455,0.7124073474378269,0.014475525881025415,0.014857875936864256,0.3234231885492317,0.5075333671191291
spair_2d_warp_70_30,train,kitti2012,val,flow,1,first,1,0.95,2.245116710662842,2.8009579181671143,0.000812,0.004068,0.995932,0.000812,0.004068,48.21565246582031,46.781822204589844,76.5398567199707,65.87383270263672,61.52599334716797,108.5060806274414,knn,20,50,1e-06,10.481069000000499,13.4637680000005,1000000,1000000,0.2090109887106561,0.3176196114299243,0.21010182682212386,0.33103838301036226,0.04438437494332413,0.05077623161515779,0.02774604516075385,0.02883088340385135,0.20900970505609492,0.31761760793579497
spair_2d_warp_70_30,train,spair,test,flow,1,first,1,0.95,2.245116710662842,41.9192665100098,0.0007214356569573452,0.883584,0.11641599999999996,0.0007214356569573452,0.883584,103.60794830322266,80.5201416015625,222.12937316894556,27.943195343017578,25.684398651123047,43.978770065307614,knn,20,50,1e-06,6.020991563741732,8.821120346989442,1000000,11089,1.9503007023246681,1.0973187700076716,8.342127122439491,1.1129482392875618,4.661081437272793,15.768850054884657,0.5052603645616067,0.3765276673679889,1.9503009375097762,1.0973189149782905
spair_2d_warp_70_30,train,pfpascal,test,flow,1,first,1,0.95,2.245116710662842,52.865956306457505,0.00041425020712510354,0.951028,0.048972000000000016,0.00041425020712510354,0.951028,49.44088363647461,41.460784912109375,94.7701873779297,30.63955307006836,28.960186004638672,47.16334915161133,knn,20,50,1e-06,4.209026748449433,7.943886843693702,1000000,2414,0.7301426082396628,0.43072277679551446,1.2242913880844228,0.4399284032684463,4.030368428777069,16.75777374539157,0.3626739560090928,0.2535440102443137,0.7301440722849326,0.43072612735988314
spair_2d_warp_70_30,train,pfwillow,test,flow,1,first,1,0.95,2.245116710662842,31.55690164566035,0.0022222222222222222,0.658762,0.34123800000000004,0.0022222222222222222,0.658762,48.55757522583008,39.310768127441406,95.6219352722168,30.007007598876953,25.504791259765625,54.23113441467285,knn,20,50,1e-06,4.76774892884786,8.198671298354583,1000000,9000,0.33383322062559856,0.25670486008002724,0.6236054928434156,0.2641507799339424,4.303483494123312,10.311740970277683,0.10918721598413406,0.08487640486409312,0.33385024815926373,0.25670851774267367
