dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
synthetic_small_zoom,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.175609506796852,0.15406888162408214,0.8459311183759178
synthetic_small_zoom,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.1985866969235261,0.26020077574357386,0.7397992242564262
synthetic_small_zoom,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21322635876619334,0.14974398795440622,0.8502560120455938
synthetic_small_zoom,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2229993374002422,0.2224335050720839,0.7775664949279161
synthetic_small_zoom,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.12754158712339786,0.3150384468169212,0.6849615531830788
synthetic_small_zoom,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20960221905037998,0.3344358102421152,0.6655641897578848
spair,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.41510762158036985,0.3930738229145934,0.6069261770854066
spair,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.43619967193500125,0.3718319068954487,0.6281680931045512
spair,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.42765313481242195,0.17331896835905788,0.8266810316409421
spair,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4134765992345687,0.2009058291669747,0.7990941708330253
spair,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.43194517155020795,0.29943663506574203,0.700563364934258
spair,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4686413844176667,0.21208215724649174,0.7879178427535083
spair,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4990134088037602,0.3087549760879852,0.6912450239120148
spair,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3462573550986866,0.3612608396094352,0.6387391603905648
spair,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.46505151901629843,0.38896549216036236,0.6110345078396376
synthetic_random_flipping,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20500753794824356,0.3455851483234298,0.6544148516765702
synthetic_random_flipping,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.20647228113678415,0.29979147240718573,0.7002085275928143
synthetic_random_flipping,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.21667302990312337,0.13389966007422852,0.8661003399257715
synthetic_random_flipping,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.201402117803219,0.1549748024196767,0.8450251975803234
synthetic_random_flipping,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.22563581972283014,0.26219558332621073,0.7378044166737893
synthetic_random_flipping,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2388604088579183,0.15362945263133676,0.8463705473686632
