dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
synthetic,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.0554576193513201,0.06838311963409219,0.9316168803659078
synthetic,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.06466596271039621,0.09004305749215445,0.9099569425078455
synthetic,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.08254600673416804,0.06953972740593399,0.930460272594066
synthetic,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.05822688107003639,0.0,1.0
spair,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,2.8459941365834184e-07,0.9999997154005863
spair,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.025221625095817962,0.9747783749041821
spair,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.08471980500854748,0.9152801949914525
spair,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.07871809575680123,0.9212819042431988
spair,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.0,1.0
spair,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.05722758942651468,0.9427724105734854
spair,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.09245725017958781,0.9075427498204122
spair,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.0918370336004027,0.9081629663995973
spair,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.0,0.0,1.0
synthetic_random_flipping,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.07121405334419004,2.813924333012258e-06,0.999997186075667
synthetic_random_flipping,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.04789135174032361,0.019497100312699744,0.9805028996873002
synthetic_random_flipping,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.06704887130202539,0.11207750742762985,0.8879224925723701
synthetic_random_flipping,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.06029113964617165,0.07919126578961572,0.9208087342103843
synthetic_random_flipping,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.04903212779547044,0.0,1.0
synthetic_random_flipping,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.05479334529414982,0.06928737405208367,0.9307126259479164
synthetic_random_flipping,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.06318794070172684,0.09103423878449665,0.9089657612155033
synthetic_random_flipping,train,pfpascal,val,dino,5,,1.0,gaussian,100.0,20.0,0.07905313201491904,0.07073934674722475,0.9292606532527753
synthetic_random_flipping,train,spair,val,dino,5,,1.0,gaussian,100.0,20.0,0.059723468840592826,0.0,1.0
flyingthings,train,pointodyssey,val,dino,5,,1.0,gaussian,100.0,20.0,0.09677305506021487,1.344932524977046e-06,0.999998655067475
flyingthings,train,tss,val,dino,5,,1.0,gaussian,100.0,20.0,0.07126981309162128,0.016555393424538448,0.9834446065754615
flyingthings,train,flyingthings,val,dino,5,,1.0,gaussian,100.0,20.0,0.12737671537441497,0.14758204222145818,0.8524179577785418
flyingthings,train,kitti,val,dino,5,,1.0,gaussian,100.0,20.0,0.09128086884188022,0.07890448639679754,0.9210955136032024
flyingthings,train,pfwillow,val,dino,5,,1.0,gaussian,100.0,20.0,0.06958807652430113,0.0,1.0
flyingthings,train,middlebury,val,dino,5,,1.0,gaussian,100.0,20.0,0.08808511052792434,0.08037156123835107,0.9196284387616489
flyingthings,train,kitti2012,val,dino,5,,1.0,gaussian,100.0,20.0,0.0946537763232718,0.09148756519612072,0.9085124348038793
