run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,selected_training_steps,selected_epoch,selected_metric,selection_policy,metric,auc_steps,benchmarks,checkpoint_path
snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12,sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12,sintel,steps,100,False,False,2025_12_10_17_12,5000,50,162608.06,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_10_17_12/epoch_50.pth
snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45,sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45,sintel,steps,100,False,False,2025_12_12_11_45,5000,50,168539.21999999997,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedFalse_freezeFalse_2025_12_12_11_45/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22,sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22,sintel,steps,100,True,False,2025_12_10_12_22,5000,50,239518.03999999998,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_10_12_22/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44,sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44,sintel,steps,100,True,False,2025_12_12_11_44,5000,50,239706.19499999998,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeFalse_2025_12_12_11_44/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeTrue_2025_12_10_12_22,sintel_steps100_pretrainedTrue_freezeTrue_2025_12_10_12_22,sintel,steps,100,True,True,2025_12_10_12_22,5000,50,233503.135,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeTrue_2025_12_10_12_22/epoch_50.pth
snapshots/sintel_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_44,sintel_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_44,sintel,steps,100,True,True,2025_12_12_11_44,5000,50,236645.66500000004,auc,pck,5000,__all__,snapshots/sintel_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_44/epoch_50.pth
snapshots/spair_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_41,spair_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_41,spair,logsteps,100,False,False,2025_12_10_06_41,5000,50,14464.89,auc,pck,5000,__all__,snapshots/spair_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_06_41/epoch_50.pth
snapshots/spair_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_06_42,spair_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_06_42,spair,logsteps,100,True,False,2025_12_10_06_42,5000,50,192429.935,auc,pck,5000,__all__,snapshots/spair_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_06_42/epoch_50.pth
snapshots/spair_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_26,spair_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_26,spair,logsteps,100,True,True,2025_12_10_06_26,5000,50,206273.13999999998,auc,pck,5000,__all__,snapshots/spair_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_06_26/epoch_50.pth
snapshots/spair_steps100_pretrainedFalse_freezeFalse_2025_12_10_22_16,spair_steps100_pretrainedFalse_freezeFalse_2025_12_10_22_16,spair,steps,100,False,False,2025_12_10_22_16,5000,50,15704.519999999999,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedFalse_freezeFalse_2025_12_10_22_16/epoch_50.pth
snapshots/spair_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_44,spair_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_44,spair,steps,100,False,False,2025_12_12_23_44,5000,50,16921.225,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedFalse_freezeFalse_2025_12_12_23_44/epoch_50.pth
snapshots/spair_steps100_pretrainedTrue_freezeFalse_2025_12_10_20_45,spair_steps100_pretrainedTrue_freezeFalse_2025_12_10_20_45,spair,steps,100,True,False,2025_12_10_20_45,5000,50,161940.85,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedTrue_freezeFalse_2025_12_10_20_45/epoch_50.pth
snapshots/spair_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_44,spair_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_44,spair,steps,100,True,False,2025_12_12_23_44,5000,50,188706.055,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedTrue_freezeFalse_2025_12_12_23_44/epoch_50.pth
snapshots/spair_steps100_pretrainedTrue_freezeTrue_2025_12_10_19_45,spair_steps100_pretrainedTrue_freezeTrue_2025_12_10_19_45,spair,steps,100,True,True,2025_12_10_19_45,5000,50,196340.885,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedTrue_freezeTrue_2025_12_10_19_45/epoch_50.pth
snapshots/spair_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_46,spair_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_46,spair,steps,100,True,True,2025_12_12_11_46,5000,50,195115.71,auc,pck,5000,__all__,snapshots/spair_steps100_pretrainedTrue_freezeTrue_2025_12_12_11_46/epoch_50.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_40,spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_40,spair_synthetic_70_30,steps,100,False,False,2025_12_16_11_40,1000,10,21.74375,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_16_11_40/epoch_10.pth
snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_17_03_25,spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_17_03_25,spair_synthetic,steps,100,False,False,2025_12_17_03_25,5000,50,129855.415,auc,pck,5000,__all__,snapshots/spair_synthetic_70_30_steps100_pretrainedFalse_freezeFalse_2025_12_17_03_25/epoch_50.pth
