split,variant_filter,n_rows,n_contexts,head,ctx_spearman,ctx_pearson,median_std_ratio,pooled_std_ratio,abs_r_L_plus_head,mean_abs_head
LOTO,all_variants,891,90,g,0.49992517770295547,0.2659155698648727,0.2118757678699768,0.49783877408170607,0.8776117202442919,3.0139830418466933
LOTO,all_variants,891,90,g_global_gain,0.5062102506546952,0.3912354471127001,0.4225479636070306,1.1034866712400317,0.8564751194353304,7.115482209631427
LOTO,all_variants,891,90,g_variant_gain,0.5164983164983166,0.32462562456841626,0.44136951577439437,1.1790538815777047,0.8339141212950483,7.256707758583623
LOTO,all_variants,891,90,g_context_gain,0.4761316872427984,0.3266509172044603,1.0623609830103593,1.0206572553518112,0.8504747913602573,7.025597969495054
LOTO,all_variants,891,90,g_shrink_gain,0.4864945753834643,0.34337025512072006,0.9957572382079649,1.0195181885879123,0.8542720349667553,7.102824941629657
LOTO,all_variants,891,90,g_benchsim_gain,0.5065843621399176,0.301387215458959,1.4947518665387973,1.5390031129516921,0.7855863739973332,11.35758812802018
LOTO,all_variants,891,90,g_profilesim_gain,0.4992517770295547,0.2548803906444099,0.9503316263671782,1.8755925747072892,0.727347838479034,11.415751221637622
LOBO,all_variants,891,90,g,0.5073774360240566,0.4327662725730449,0.13930412091519379,0.4225325242355529,0.7131832101282495,2.7482258266623836
LOBO,all_variants,891,90,g_global_gain,0.5073774360240566,0.4331113754137802,0.32251961409820457,1.0518019519389876,0.6598622050919818,6.688250070964668
LOBO,all_variants,891,90,g_variant_gain,0.5073774360240566,0.4049363011530657,0.3243714132605654,1.22546762493892,0.6404751401567811,7.578934248788055
LOBO,all_variants,891,90,g_context_gain,0.5073774360240566,0.4049363011530657,0.3243714132605654,1.22546762493892,0.6404751401567811,7.578934248788055
LOBO,all_variants,891,90,g_shrink_gain,0.5073774360240566,0.4049363011530657,0.3243714132605654,1.22546762493892,0.6404751401567811,7.578934248788055
LOBO,all_variants,891,90,g_benchsim_gain,0.5073774360240566,0.4492852739573303,1.1101715748900995,1.231742956267088,0.6384761587120116,10.104371799235375
LOBO,all_variants,891,90,g_profilesim_gain,0.5073774360240566,0.3482147085940687,0.9371261974800813,1.5810144706433926,0.5944092660450971,10.303813247980335
JOINT,all_variants,891,90,g,0.4987654320987655,0.2906927618035803,0.19978042270685617,0.3240696198756541,-0.02453629272462643,3.809980047502122
JOINT,all_variants,891,90,g_global_gain,0.5554433221099889,0.3769523586908967,0.3603277776713685,0.7789387212957719,-0.016882696599679184,9.145499545007
JOINT,all_variants,891,90,g_variant_gain,0.5022072577628133,0.2771200437360558,0.36868961612327017,1.1957884142663815,0.010335283864468775,10.318450783573546
JOINT,all_variants,891,90,g_context_gain,0.5022072577628133,0.2771200437360558,0.36868961612327017,1.1957884142663815,0.010335283864468775,10.318450783573546
JOINT,all_variants,891,90,g_shrink_gain,0.5022072577628133,0.2771200437360558,0.36868961612327017,1.1957884142663815,0.010335283864468775,10.318450783573546
JOINT,all_variants,891,90,g_benchsim_gain,0.4994762439206884,0.29733950575775175,1.025110044943015,1.2922627029220106,0.10973309836720749,20.601659799602043
JOINT,all_variants,891,90,g_profilesim_gain,0.4799476243920689,0.25878824835179826,0.868880861021401,1.686441142719653,0.17149027587106197,21.041488508203265
