ctx_rho_g,cent_rho_g,ctx_rho_L,ctx_rho_Lg,MAE_Lg,abs_r_Lg,ctx_rho_g_zridge,cent_rho_g_zridge,abs_r_Lg_zridge,MAE_Lg_zridge,ctx_rho_g_rank,cent_rho_g_rank,ctx_rho_g_gbm,cent_rho_g_gbm,abs_r_Lg_gbm,n_rows,split,family,label,n_features,target
0.4817059483726152,0.3846211410047107,-1.0,-0.2133557800224466,9.199999840068308,0.8825871788247076,0.4588103254769921,0.4276288523026065,0.8705659930314473,9.260768611992608,,,,,0.877190969503894,891,LOTO,motion_rule,main,1,peak_pck
0.1906846240179573,0.2732778763558242,-1.0,-0.4448933782267116,9.847965499528256,0.8629538216149741,0.1749719416386083,0.344754798450571,0.8575850446537999,9.643297126375122,,,,,0.877190969503894,891,LOTO,motion_precision,main,1,peak_pck
0.3489337822671157,0.1688819060407695,-1.0,-0.6181818181818183,9.4442215818426,0.8788711315119168,0.3242424242424243,0.2118466199082916,0.878873529958087,9.38647711640345,,,,,0.877190969503894,891,LOTO,motion_recall,main,1,peak_pck
0.4364758698092031,0.3389827433080643,-1.0,-0.126374859708193,9.470930854053623,0.8776375864293451,0.4244668911335578,0.408362440684706,0.865749098133777,9.314240195836296,,,,,0.877190969503894,891,LOTO,motion_meannn_sym,main,1,peak_pck
0.3799102132435466,0.3204740139474601,-1.0,-0.2081930415263748,9.741684201406532,0.865317942778434,0.3622895622895623,0.4076282551417332,0.859203584106037,9.550981060991282,,,,,0.877190969503894,891,LOTO,motion_meannn_both,main,2,peak_pck
0.3425364758698092,0.3187690676772132,-1.0,-0.0498316498316498,9.290536724716654,0.8819090185080629,0.2995510662177329,0.4007288585965463,0.8849186548082498,8.819137701548831,,,,,0.877190969503894,891,LOTO,motion_sym,main,3,peak_pck
0.2164983164983165,0.2214297834040094,-1.0,0.1177328843995511,10.475872894633971,0.8707725175780084,0.2531986531986532,0.2806705302296575,0.8349522586086229,10.315674454284972,,,,,0.877190969503894,891,LOTO,motion,main,13,peak_pck
-0.1101010101010101,-0.0594083815314898,-1.0,-0.2160493827160493,12.613288162342425,0.8242982913598524,-0.0679012345679012,0.0270701675901454,0.8264749374013707,11.46020072294008,,,,,0.877190969503894,891,LOTO,appearance,main,13,peak_pck
0.4952725048874817,0.3872201147146928,0.6542087542087542,0.6637485970819305,18.41579924700945,0.7133366852011394,0.4952725048874817,0.3834775435502447,0.7206238392360591,18.01360678516362,,,,,0.7248091582801284,891,LOBO,motion_rule,main,1,peak_pck
0.2216372725601971,0.2593567456141365,0.6542087542087542,0.6393939393939395,18.12114621218801,0.7180869109182735,0.2216372725601971,0.2526287972220344,0.7217076563950038,17.9000198238688,,,,,0.7248091582801284,891,LOBO,motion_precision,main,1,peak_pck
0.3607546683597749,0.1674131979723456,0.6542087542087542,0.6657687991021325,17.69057656283606,0.7241141528723912,0.3607546683597749,0.1681417649733878,0.7232776529971552,17.795136195119266,,,,,0.7248091582801284,891,LOBO,motion_recall,main,1,peak_pck
0.4420637596533508,0.3483986124645733,0.6542087542087542,0.6464646464646465,18.18397051781309,0.71756398186856,0.4420637596533508,0.3454233940355391,0.7202050369898256,17.995879793671044,,,,,0.7248091582801284,891,LOBO,motion_meannn_sym,main,1,peak_pck
0.4586980920314253,0.344115599641632,0.6542087542087542,0.6516273849607184,18.138569418123435,0.7175766198346456,0.4417508417508418,0.326907033051147,0.7200830879514966,18.021330435662065,,,,,0.7248091582801284,891,LOBO,motion_meannn_both,main,2,peak_pck
0.4391694725028059,0.4150907447117153,0.6542087542087542,0.6436588103254771,19.068096766728413,0.7075207705419506,0.4502805836139169,0.4372367233203537,0.7167254650609312,18.54101988639076,,,,,0.7248091582801284,891,LOBO,motion_sym,main,3,peak_pck
0.3575757575757576,0.3247717717252216,0.6542087542087542,0.5872053872053873,20.168210500415825,0.6926924144817219,0.3653198653198654,0.306302840285013,0.7042954892032961,19.068913401969567,,,,,0.7248091582801284,891,LOBO,motion,main,13,peak_pck
0.1907968574635241,0.1887394862180251,0.6545454545454547,0.5135802469135803,20.44476628582664,0.6498904690552066,0.2556677890011223,0.1984312497483482,0.6488240535400233,20.544824227201488,,,,,0.6801714101042782,891,LOBO,appearance,main,13,peak_pck
0.4875420875420875,0.411757796165739,-0.6342312008978676,0.0178451178451178,31.013202776508983,-0.0201413978862977,0.5484848484848486,0.4444905468977359,-0.0209469995484226,30.94025609650689,,,,,-0.015096639728041,891,JOINT,motion_rule,main,1,peak_pck
0.1237934904601571,0.2172123841161653,-0.6342312008978676,-0.2804713804713805,32.34605067753339,-0.1553117507690274,0.2534231200897868,0.2849477342765141,-0.1124054077444555,31.737361520253536,,,,,-0.015096639728041,891,JOINT,motion_precision,main,1,peak_pck
0.1949494949494949,0.1376395214583104,-0.6342312008978676,-0.3460157126823794,30.229270400760257,0.0427590425935522,0.3738496071829406,0.2396962676232504,0.0618359623259159,30.02988476242783,,,,,-0.015096639728041,891,JOINT,motion_recall,main,1,peak_pck
0.4628507295173963,0.3661302641008513,-0.6342312008978676,0.0562289562289562,31.23740502512469,-0.0600340202444236,0.5052749719416387,0.3896101501621922,-0.0589543352342375,31.221107169781355,,,,,-0.015096639728041,891,JOINT,motion_meannn_sym,main,1,peak_pck
0.471043771043771,0.3391545205384089,-0.6342312008978676,-0.0178451178451178,31.830908814924065,-0.1096993298538977,0.4838383838383839,0.370418129151995,-0.0431860261756474,31.034220873825475,,,,,-0.015096639728041,891,JOINT,motion_meannn_both,main,2,peak_pck
0.3731762065095398,0.3327395189575493,-0.6342312008978676,0.1737373737373737,26.83679818359608,0.2209612510552891,0.2469135802469136,0.3132998333539131,0.1253202444037174,28.057826195066976,,,,,-0.015096639728041,891,JOINT,motion_sym,main,3,peak_pck
0.2258136924803591,0.1816074935478672,-0.6342312008978676,0.1691358024691358,24.7067780478588,0.4523073986136194,0.2144781144781145,0.1424104948329442,0.2828285715836324,26.909532897592385,,,,,-0.015096639728041,891,JOINT,motion,main,13,peak_pck
-0.0734006734006734,-0.1071716289040611,-0.6342312008978676,-0.1416386083052749,35.48857986886975,-0.2832792358646329,-0.0708193041526375,-0.1070675777968313,-0.2457109307033878,34.13805364595863,,,,,-0.015096639728041,891,JOINT,appearance,main,13,peak_pck
0.0159371492704825,0.0132447963337582,-1.0,-0.8228956228956229,9.491550411989236,0.877609011346574,-0.0063973063973064,-0.0216113198629447,0.8769475380745557,9.491653571966127,,,,,0.8771909695038941,891,LOTO,motion_rule,shuffle,1,peak_pck
-0.030415263748597,-0.0964250487544516,-1.0,-0.9037037037037038,9.492250364456211,0.877280618401503,0.0432098765432098,0.1416766886208111,0.8769494988594824,9.463933504896126,,,,,0.8771909695038941,891,LOTO,motion_precision,shuffle,1,peak_pck
-0.0176206509539842,-0.0039907286153654,-1.0,-0.9657687991021324,9.469004714691716,0.8771538003341519,-0.027384960718294,-0.0086668230820999,0.8771512988208074,9.467817693166788,,,,,0.8771909695038941,891,LOTO,motion_recall,shuffle,1,peak_pck
-0.0408529741863075,-0.0193222663235161,-1.0,-0.8691358024691359,9.485472529704897,0.8772465598820545,0.0068462401795735,0.0437136857905739,0.8770672553546632,9.46023552070258,,,,,0.8771909695038941,891,LOTO,motion_meannn_sym,shuffle,1,peak_pck
-0.0860830527497194,-0.1058717275873039,-1.0,-0.8773288439955107,9.496125149779704,0.8772436248185966,-0.0089786756453423,0.0961280563991301,0.8769111794722817,9.466797400430288,,,,,0.8771909695038941,891,LOTO,motion_meannn_both,shuffle,2,peak_pck
-0.0413019079685746,-0.0845713510245752,-1.0,-0.8099887766554433,9.490369545544612,0.8771829988732868,0.0325476992143658,0.0565421433562714,0.8772770009180451,9.446245251351847,,,,,0.8771909695038941,891,LOTO,motion_sym,shuffle,3,peak_pck
-0.0602693602693602,-0.0816631597998142,-1.0,-0.7167227833894502,9.534538560051583,0.8761897428496274,-0.0454545454545454,-0.0708395318462331,0.8760099415085478,9.483917689529372,,,,,0.8771909695038941,891,LOTO,motion,shuffle,13,peak_pck
-0.0595959595959595,-0.0035367526661058,-1.0,-0.7419753086419754,9.545010679482033,0.8760854214573834,-0.0726150392817059,-0.0349750167909083,0.8768034486554632,9.480443782508615,,,,,0.8771909695038941,891,LOTO,appearance,shuffle,13,peak_pck
0.0342706181166088,0.0266831409241793,0.043658810325477,0.0468013468013468,21.506014390223164,0.5833586018636693,0.0342706181166088,0.029933028324114,0.5837846744726356,21.45714990867003,,,,,0.5839580884822626,891,LOBO,motion_rule,shuffle,1,peak_pck
-0.0079142646086907,-0.0950129172311083,0.043658810325477,0.0387205387205387,21.44949662896148,0.5838458792295941,0.0079142646086907,0.0973820980956142,0.5838363158314139,21.43807780779279,,,,,0.5839580884822626,891,LOBO,motion_precision,shuffle,1,peak_pck
-0.0580285277929671,-0.0654939892109585,0.043658810325477,0.0369248035914702,21.449963305594657,0.5838066196271972,-0.0721699419343812,-0.0298620082450853,0.5838737488566217,21.443362150403665,,,,,0.5839580884822626,891,LOBO,motion_recall,shuffle,1,peak_pck
-0.0198110098387693,4.7334755606909125e-05,0.043658810325477,0.0420875420875421,21.45039151605002,0.5838600245201339,0.0198110098387693,0.0066606108849322,0.583882344773871,21.435729650501116,,,,,0.5839580884822626,891,LOBO,motion_meannn_sym,shuffle,1,peak_pck
-0.0482603815937149,-0.0517388437071752,0.043658810325477,0.0353535353535353,21.454367957504783,0.5837721101986426,0.0026936026936027,0.0734493479505311,0.5837527997614884,21.44387375358976,,,,,0.5839580884822626,891,LOBO,motion_meannn_both,shuffle,2,peak_pck
-0.0432098765432098,-0.0821063095964125,0.043658810325477,0.042087542087542,21.440796320584035,0.5837948026019937,0.0492704826038159,0.0367329956277577,0.5838016265109276,21.43582086404525,,,,,0.5839580884822626,891,LOBO,motion_sym,shuffle,3,peak_pck
-0.1387205387205387,-0.11009118250015,0.043658810325477,0.0112233445566778,21.494570809067262,0.5826774950109316,-0.0865319865319865,-0.0343695217415963,0.5831057864262853,21.461974260077515,,,,,0.5839580884822626,891,LOBO,motion,shuffle,13,peak_pck
-0.0143658810325477,-0.0296874804832303,0.0530864197530864,0.0459034792368125,21.695671371662943,0.563921278876391,-0.0537598204264871,-0.0410920727962985,0.5639685694473409,21.69149866620868,,,,,0.5637249602142428,891,LOBO,appearance,shuffle,13,peak_pck
0.0406285072951739,0.0356931197449771,-0.0226711560044893,-0.0068462401795735,30.425208667499035,0.0223515727169566,-0.0031425364758698,-0.0074257805151625,0.016868524651669,30.477396044135865,,,,,0.013857384430943,891,JOINT,motion_rule,shuffle,1,peak_pck
0.0164983164983164,-0.0429940848102287,-0.0226711560044893,-0.0364758698092031,30.39425313133852,0.0269549043481994,0.0168350168350168,0.1426335817897596,0.0037639953434013,30.607322537257104,,,,,0.013857384430943,891,JOINT,motion_precision,shuffle,1,peak_pck
0.0262626262626262,0.048668230282971,-0.0226711560044893,-0.030415263748597,30.54849297188773,0.0117603468466273,0.0163860830527497,0.0366859668393612,0.0123689548767674,30.536423663966247,,,,,0.013857384430943,891,JOINT,motion_recall,shuffle,1,peak_pck
