variant,metric,rho_ab,rho_ba,d,d_lo,d_hi
catspp|False|False,mean_nn,-0.19090909090909094,-0.195959595959596,0.005050505050505067,-0.05454545454545455,0.058585858585858616
catspp|False|True,mean_nn,-0.22121212121212125,-0.22424242424242427,0.0030303030303030377,-0.04848484848484849,0.06161616161616163
catspp|True|False,mean_nn,-0.29393939393939394,-0.30808080808080807,0.01414141414141411,-0.043434343434343436,0.06969696969696967
catspp|True|True,mean_nn,-0.27474747474747474,-0.24747474747474751,-0.027272727272727275,-0.08686868686868685,0.026262626262626262
glunet|False|False,mean_nn,-0.28181818181818186,-0.3070707070707071,0.025252525252525297,-0.038383838383838326,0.10103535353535323
glunet|False|True,mean_nn,-0.20303030303030306,-0.16161616161616163,-0.04141414141414143,-0.11517676767676772,0.029292929292929308
glunet|True|False,mean_nn,-0.18888888888888894,-0.1606060606060606,-0.028282828282828285,-0.09696969696969698,0.07575757575757575
glunet|True|True,mean_nn,-0.18282828282828287,-0.14545454545454545,-0.0373737373737374,-0.10606060606060608,0.030303030303030283
raft|True|False,mean_nn,-0.25959595959595966,-0.3484848484848485,0.08888888888888888,0.023232323232323222,0.15959595959595962
