variant,regime,rule,precision,recall,sym,fid,w2,mmd,rule_minus_best_sym
glunet|True|True,pretrained,0.7336363636363636,-0.16272727272727272,0.7336363636363636,0.3336363636363636,0.33,0.2845454545454546,0.06727272727272728,0.4
glunet|True|False,pretrained,0.6045454545454546,-0.13454545454545458,0.6045454545454546,0.3072727272727273,0.2490909090909091,0.1872727272727273,-0.033636363636363645,0.2972727272727273
catspp|False|False,scratch,0.5581818181818183,0.5581818181818183,0.033636363636363624,0.49363636363636376,0.4254545454545455,0.43090909090909096,0.3100000000000001,0.06454545454545457
catspp|False|True,scratch,0.5327272727272728,0.5327272727272728,0.07000000000000002,0.49000000000000005,0.48909090909090924,0.49727272727272726,0.3754545454545455,0.03545454545454557
catspp|True|False,pretrained,0.44090909090909103,0.08363636363636365,0.44090909090909103,0.4545454545454546,0.4527272727272728,0.44454545454545463,0.0790909090909091,-0.013636363636363558
raft|True|False,scratch,0.5078787878787878,0.5078787878787878,0.2848484848484848,0.5418181818181818,0.4375757575757575,0.4969696969696969,0.1745454545454545,-0.033939393939393936
glunet|False|False,scratch,0.33545454545454545,0.33545454545454545,0.42000000000000004,0.4790909090909091,0.3818181818181819,0.3981818181818182,0.12636363636363637,-0.14363636363636367
catspp|True|True,pretrained,0.4381818181818182,0.16909090909090913,0.4381818181818182,0.5463636363636364,0.6054545454545455,0.5700000000000001,0.13090909090909092,-0.1672727272727273
glunet|False|True,scratch,0.42090909090909107,0.42090909090909107,0.3127272727272728,0.6090909090909091,0.5163636363636364,0.5027272727272728,0.1881818181818182,-0.18818181818181806
