variant,regime,rule_rho,O1_all_variant,O2_same_regime,O3_same_regime_consensus,frac_O1,frac_O2,frac_O3
catspp|False|False,scratch,0.5581818181818183,0.48390151515151525,0.6821212121212122,0.7304741672099075,1.1535029354207438,0.818302976454909,0.7641362874115443
catspp|False|True,scratch,0.5327272727272728,0.5021212121212122,0.6890151515151516,0.7393278902652269,1.0609535304767652,0.7731720725673448,0.7205561696531723
catspp|True|False,pretrained,0.44090909090909103,0.5640151515151516,0.6018181818181818,0.7168713735688516,0.7817327065144394,0.732628398791541,0.6150463070021642
catspp|True|True,pretrained,0.4381818181818182,0.5356818181818181,0.55,0.5995897684752443,0.817988969028426,0.796694214876033,0.7308026941422195
glunet|False|False,scratch,0.33545454545454545,0.6238636363636363,0.6886363636363637,0.7353035685802247,0.537704918032787,0.48712871287128706,0.45621231799848927
glunet|False|True,scratch,0.42090909090909107,0.6248484848484848,0.7158333333333333,0.7994701972983844,0.6736178467507278,0.5879987300243414,0.5264850301255146
glunet|True|False,pretrained,0.6045454545454546,0.3823106060606061,0.4872727272727273,0.5400814903468609,1.5812939661151295,1.2406716417910448,1.1193596991394623
glunet|True|True,pretrained,0.7336363636363636,0.43886363636363634,0.5584848484848486,0.6323067981230804,1.6716727084412222,1.3136190992946282,1.1602537973877027
raft|True|False,scratch,0.5078787878787878,0.5924242424242424,0.6851515151515151,0.7376192262832841,0.8572890025575447,0.7412649270234409,0.6885378929693678
