regime,setting,ctx_rho_linear,ctx_rho_rule,ctx_rho_sym,MAE(anchor+model),r(anchor+model),w[d(T->B)],w_ab_sd,w[d(B->T)],w_ba_sd
scratch,LOTO,0.520969696969697,0.471030303030303,0.5227272727272727,10.31588452880209,0.8186652935807754,-7.872487681176017,1.9656375642856683,-0.9028524306659506,0.15772619412650254
pretrained,LOTO,0.3884090909090909,0.5543181818181819,0.41045454545454546,7.734547495409223,0.8979600959490747,-0.868369605837726,0.46243711326597126,-3.055847867237325,0.33207400751572524
pooled (regime-blind),LOTO,0.4370033670033671,0.5080471380471382,0.4728282828282828,9.469311177107985,0.8612794519484073,-4.733032645287673,1.2795861267020125,-1.8941588928149942,0.21372137645192754
scratch,LOBO,0.574969696969697,0.471030303030303,0.5227272727272727,19.981955371595017,0.6800046331566381,-7.949254310978562,0.6067940674544436,-0.9041381816885983,0.2237166424444334
pretrained,LOBO,0.5070454545454546,0.5543181818181819,0.41045454545454546,17.236812484006638,0.6397993549632313,-0.8670471125729614,0.10287827782574889,-3.0872249225595185,0.3773216654278649
pooled (regime-blind),LOBO,0.4756228956228956,0.5080471380471382,0.4728282828282828,18.482626114914225,0.6963931136556573,-4.774716338057774,0.37760197126851835,-1.9093426691471103,0.2896210763594451
scratch,JOINT,0.5408484848484849,0.471030303030303,0.5227272727272727,30.578671070292035,-0.17501009117249705,-7.855276496896036,2.058187373028183,-0.888196800737379,0.2749598243852227
pretrained,JOINT,0.3586363636363637,0.5543181818181819,0.41045454545454546,25.47578645814429,-0.3013106898391079,-0.8646867891833309,0.4756043540245099,-3.0412442766352186,0.5029783798352879
pooled (regime-blind),JOINT,0.4530976430976431,0.5080471380471382,0.4728282828282828,28.621257777680643,0.03150070213348239,-4.721656190304895,1.3353032379245586,-1.8795426847050423,0.36041807622625127
