arm,benchmark,n,precision,recall,sym,scratch_fit,prec_spread,rec_spread
FF,flyingthings,9,0.6666666666666667,-0.38333333333333336,-0.2833333333333333,0.18333333333333335,3.1185582055186303,1.2622803407777297
FF,kitti2012,9,0.9166666666666666,0.3,0.8833333333333333,0.8833333333333333,1.0420797401142914,2.634506985064683
FF,kitti2015,9,0.38333333333333336,-0.7,-0.6333333333333333,-0.25,1.0235154669598412,1.6654204938676418
TT,flyingthings,9,0.7333333333333334,0.08333333333333334,0.13333333333333333,,3.1185582055186303,1.2622803407777297
TT,kitti2012,9,0.7999999999999999,0.65,0.9333333333333332,,1.0420797401142914,2.634506985064683
TT,kitti2015,9,0.38333333333333336,-0.09999999999999999,0.03333333333333333,,1.0235154669598412,1.6654204938676418
