arm,benchmark,appearance_effect,std,count
FF,flyingthings,6.071675000000001,3.1132380649681552,4
FF,kitti2012,6.310075000000001,4.6903202174798295,4
FF,kitti2015,6.242875000000005,4.566818514294164,4
TT,flyingthings,1.9055000000000035,,1
TT,kitti2012,1.0131999999999977,,1
TT,kitti2015,2.7404999999999973,,1
