benchmark,variant,regime,n_sources,level,level_std,r_precision,r_recall,direction_gap,regime_pretrained
flyingthings,catspp|False|False,scratch,11,57.50712272727273,19.77559288726085,0.6090909090909091,0.11818181818181818,-0.49090909090909096,0
flyingthings,catspp|False|True,scratch,11,58.54282727272726,19.572259522655575,0.6727272727272727,-0.018181818181818184,-0.6909090909090909,0
flyingthings,catspp|True|False,pretrained,11,79.9540090909091,5.926345334766536,-0.3181818181818182,0.8363636363636365,1.1545454545454548,1
flyingthings,catspp|True|True,pretrained,11,80.08200454545455,4.335310426627747,-0.07272727272727274,0.6181818181818182,0.6909090909090909,1
flyingthings,glunet|False|False,scratch,11,58.88537272727272,20.62179565353565,0.05454545454545456,0.6818181818181819,0.6272727272727273,0
flyingthings,glunet|False|True,scratch,11,52.369245454545464,18.27622321675699,0.41818181818181827,0.39090909090909093,-0.027272727272727337,0
flyingthings,glunet|True|False,pretrained,11,65.89800000000001,21.705725207235073,-0.09090909090909091,0.6181818181818182,0.7090909090909091,1
flyingthings,glunet|True|True,pretrained,11,67.5291090909091,14.992339046823517,-0.33636363636363636,0.8636363636363636,1.2,1
flyingthings,raft|True|False,scratch,11,50.75063636363636,25.188385805000394,0.05454545454545456,0.5818181818181819,0.5272727272727273,0
kitti2012,catspp|False|False,scratch,11,76.30613636363637,24.035482485619994,0.7000000000000001,0.7818181818181819,0.08181818181818179,0
kitti2012,catspp|False|True,scratch,11,78.31994545454546,23.533743369823835,0.6727272727272727,0.8181818181818182,0.1454545454545455,0
kitti2012,catspp|True|False,pretrained,11,95.79414545454546,4.419262464340321,0.27272727272727276,0.6090909090909091,0.33636363636363636,1
kitti2012,catspp|True|True,pretrained,11,95.67146363636365,4.140886437291591,0.4272727272727273,0.7000000000000001,0.27272727272727276,1
kitti2012,glunet|False|False,scratch,11,86.3622090909091,25.091395525655983,0.4090909090909091,0.6272727272727273,0.2181818181818182,0
kitti2012,glunet|False|True,scratch,11,82.92947272727272,24.5213502186601,0.5727272727272729,0.6636363636363638,0.09090909090909094,0
kitti2012,glunet|True|False,pretrained,11,88.83830909090909,22.749048205076825,0.19090909090909092,0.5545454545454546,0.36363636363636365,1
kitti2012,glunet|True|True,pretrained,11,91.82514545454545,14.518006279401014,0.19090909090909092,0.5909090909090909,0.4,1
kitti2012,raft|True|False,scratch,11,76.63319318181819,31.94931303792401,0.5181818181818182,0.6727272727272727,0.15454545454545454,0
kitti2015,catspp|False|False,scratch,11,78.40247272727274,23.102071729407342,0.5363636363636364,0.5181818181818182,-0.018181818181818188,0
