held_out_arch,regime,w_P,w_R,ratio_P_over_R,heldout_rho_fit,heldout_rho_rule,heldout_rho_avg,n_ctx
catspp,scratch,-7.253778944200596,-9.037857420147033,0.8025994001665262,0.5122727272727273,0.5454545454545455,0.5340909090909092,20
catspp,pretrained,1.4692259341525766,-7.385640810848318,-0.1989300551950103,0.25181818181818183,0.43954545454545463,0.5604545454545454,20
glunet,scratch,-9.126667340592647,-7.196726377311051,1.2681692844910812,0.6481818181818182,0.3781818181818183,0.651818181818182,20
glunet,pretrained,-1.999882333388051,-2.4485903053743217,0.8167484486884483,0.46318181818181825,0.6690909090909092,0.42772727272727273,20
raft,scratch,-8.714216985263986,-8.162018821494307,1.0676546055389495,0.6381818181818183,0.4336363636363637,0.6445454545454545,10
