split,scope,median_regret,pairwise_acc_gap10,n_contexts
LOTO,pooled,3.021324999999994,0.7507314218841428,90
LOTO,scratch,3.494724999999999,0.7847222222222222,50
LOTO,pretrained,2.9661999999999935,0.7018544935805991,40
LOBO,pooled,1.618700000000004,0.8004681100058514,90
LOBO,scratch,2.871000000000002,0.816468253968254,50
LOBO,pretrained,1.2426000000000004,0.7774607703281027,40
JOINT,pooled,1.594075000000002,0.7636044470450556,90
JOINT,scratch,2.871000000000002,0.8045634920634921,50
JOINT,pretrained,0.9384999999999994,0.7047075606276747,40
