arm,benchmark,bench_regime,main_motion_cam_minus_obj,main_appearance_hq_minus_matte,interaction,cam_hq,cam_matte,obj_hq,obj_matte
FF,flyingthings,object,-1.131450000000001,7.349550000000001,-3.2799499999999995,47.6055,43.5359,52.0169,41.3874
FF,kitti2012,ego (camera),9.873599999999982,9.671300000000002,-2.115300000000005,96.1964,88.6404,88.4381,76.6515
FF,kitti2015,mixed,0.5435000000000088,7.2132000000000005,-3.5381999999999962,80.2283,76.5533,83.223,72.4716
