train_dataset,context_id,benchmark,variant,actual,L,g,g_global_gain,g_variant_gain,g_context_gain,g_shrink_gain,g_benchsim_gain,g_profilesim_gain,gain_global,gain_variant,gain_context,gain_shrink,gain_benchsim,gain_profilesim
flyingthings,flyingthings|catspp|False|False,flyingthings,catspp|False|False,76.3251,33.977970625,3.9149075390161183,10.827718735555553,11.378579011088837,11.378579011088837,11.378579011088837,31.086151555099445,37.822948848145586,2.765766145853023,2.906474520199898,2.906474520199898,2.906474520199898,7.940456127071628,9.661262359634456
flyingthings,flyingthings|catspp|False|True,flyingthings,catspp|False|True,76.5009,35.21120625,3.9149075390161183,10.827718735555553,11.792939158860639,11.792939158860639,11.792939158860639,31.264162448298585,37.87259709112084,2.765766145853023,3.012316138077785,3.012316138077785,3.012316138077785,7.985926139179213,9.673944202687059
flyingthings,flyingthings|catspp|True|False,flyingthings,catspp|True|False,85.2977,58.910590625,3.9149075390161183,10.827718735555553,6.577944312824623,6.577944312824623,6.577944312824623,24.30788155863591,31.13582087068247,2.765766145853023,1.6802298003895566,1.6802298003895566,1.6802298003895566,6.2090563611995,7.953143352782074
flyingthings,flyingthings|catspp|True|True,flyingthings,catspp|True|True,85.2894,59.676735625000006,3.9149075390161183,10.827718735555553,5.929812265129611,5.929812265129611,5.929812265129611,24.659370349930033,31.3875767784924,2.765766145853023,1.51467492042478,1.51467492042478,1.51467492042478,6.2988385049132845,8.017450339677913
flyingthings,flyingthings|glunet|False|False,flyingthings,glunet|False|False,79.5401,39.701375,3.9149075390161183,10.827718735555553,11.966989015615335,11.966989015615335,11.966989015615335,31.11626325712344,37.73431693313696,2.765766145853023,3.056774367300342,3.056774367300342,3.056774367300342,7.948147675779714,9.638622766202092
flyingthings,flyingthings|glunet|False|True,flyingthings,glunet|False|True,72.9905,36.72107125,3.9149075390161183,10.827718735555553,11.039037960405667,11.039037960405667,11.039037960405667,30.672539735818933,37.584620643337594,2.765766145853023,2.819744234158838,2.819744234158838,2.819744234158838,7.834805657639479,9.600385262938607
flyingthings,flyingthings|glunet|True|False,flyingthings,glunet|True|False,85.8465,49.148585,3.9149075390161183,10.827718735555553,12.78175765872096,12.78175765872096,12.78175765872096,33.22837762106244,37.98109329028896,2.765766145853023,3.2648938784217694,3.2648938784217694,3.2648938784217694,8.48765323060817,9.701657807181379
flyingthings,flyingthings|glunet|True|True,flyingthings,glunet|True|True,81.4831,52.2247775,3.9149075390161183,10.827718735555553,9.331385527215206,9.331385527215206,9.331385527215206,26.718586247271713,28.023239250308524,2.765766145853023,2.3835519572859027,2.3835519572859027,2.3835519572859027,6.824831999477193,7.158084570587644
flyingthings,flyingthings|raft|True|False,flyingthings,raft|True|False,79.60585,32.59717453125,3.9149075390161183,10.827718735555553,13.880225792590503,13.880225792590503,13.880225792590503,31.21314730538904,37.98388366704155,2.765766145853023,3.545479849590224,3.545479849590224,3.545479849590224,7.97289514358069,9.702370563925895
flyingthings,kitti2012|catspp|False|False,kitti2012,catspp|False|False,94.359,31.61853,-0.086354010110727,-0.29465688710550564,-0.3080446479789164,-0.3080446479789164,-0.3080446479789164,-0.30583382472476134,-0.23195920939150202,3.4121969174064213,3.5672303762607855,3.5672303762607855,3.5672303762607855,3.541628516528734,2.686142879688777
