dir,split,target,family_m,family_a,gap_g,gap_g_lo,gap_g_hi,p_gap_gt_0
results_mixed,LOTO,peak_pck,motion,appearance,0.7013654218021331,0.26237257951416715,0.9682524160649925,1.0
results_mixed,LOTO,peak_pck,motion_sym,appearance_sym,0.34905152655408067,-0.16210581899595597,0.7245239435347653,0.92
results_mixed,LOTO,peak_pck,motion,random,0.585779006063039,0.3142379057745271,0.7828628234276173,1.0
results_mixed,LOBO,peak_pck,motion,appearance,0.3732851370851371,0.2768295454545454,0.4728282828282829,1.0
results_mixed,LOBO,peak_pck,motion_sym,appearance_sym,0.39040585297418623,0.24345021645021625,0.5440818181818181,1.0
results_mixed,LOBO,peak_pck,motion,random,0.5292367508417508,0.41694372294372295,0.6520454545454545,1.0
results_mixed,JOINT,peak_pck,motion,appearance,0.4761889236034438,0.24151008220909279,0.7100240470767768,0.9966666666666667
results_mixed,JOINT,peak_pck,motion_sym,appearance_sym,0.3852995687077401,0.18379812895247294,0.6011194363537549,1.0
results_mixed,JOINT,peak_pck,motion,random,0.3907964018531052,0.193081749241886,0.5712124554964538,1.0
results_symmetric_informed,LOTO,peak_pck,motion,appearance,0.7115809857057918,0.26399775704682615,1.0029482677239685,0.9966666666666667
results_symmetric_informed,LOTO,peak_pck,motion_sym,appearance_sym,0.3558869824647552,-0.11887793427230044,0.7804347546969195,0.92
results_symmetric_informed,LOTO,peak_pck,motion,random,0.5950418225524741,0.3033138832997988,0.8039069289695021,1.0
results_symmetric_informed,LOBO,peak_pck,motion,appearance,0.37992572951739617,0.27832251082251086,0.4708989898989897,1.0
results_symmetric_informed,LOBO,peak_pck,motion_sym,appearance_sym,0.38689054513387844,0.2295787878787878,0.5469494949494949,1.0
results_symmetric_informed,LOBO,peak_pck,motion,random,0.5198600352733687,0.4156645021645021,0.6386641414141412,1.0
results_symmetric_informed,JOINT,peak_pck,motion,appearance,0.48682480977821163,0.25905157386209127,0.6909217545647003,1.0
results_symmetric_informed,JOINT,peak_pck,motion_sym,appearance_sym,0.3741033892402827,0.15291473170297193,0.5919208744235049,1.0
results_symmetric_informed,JOINT,peak_pck,motion,random,0.3908940945545911,0.18044594187425056,0.5514904253119899,1.0
results_symmetric_uninformed,LOTO,peak_pck,motion,appearance,0.7222515698970446,0.29071417671626687,1.0068656204906203,0.9966666666666667
results_symmetric_uninformed,LOTO,peak_pck,motion_sym,appearance_sym,0.3390153035458201,-0.18548216238737564,0.7254961924131533,0.9133333333333333
results_symmetric_uninformed,LOTO,peak_pck,motion,random,0.5973695782337913,0.3568578581123624,0.7734953271028037,1.0
results_symmetric_uninformed,LOBO,peak_pck,motion,appearance,0.37208174923841586,0.2375808080808081,0.4725883838383839,1.0
results_symmetric_uninformed,LOBO,peak_pck,motion_sym,appearance_sym,0.38457952220618885,0.2369818181818182,0.535641414141414,1.0
results_symmetric_uninformed,LOBO,peak_pck,motion,random,0.5232057527657528,0.4128387445887446,0.6492242424242423,1.0
results_symmetric_uninformed,JOINT,peak_pck,motion,appearance,0.4843735013359489,0.217088574241001,0.7069140925704708,0.9966666666666667
results_symmetric_uninformed,JOINT,peak_pck,motion_sym,appearance_sym,0.3752059888462678,0.1675633920058951,0.5760394148795777,1.0
results_symmetric_uninformed,JOINT,peak_pck,motion,random,0.38360706939931094,0.2047826945151723,0.5814531141922267,1.0
results_targeted_informed,LOTO,peak_pck,motion,appearance,0.710081651409895,0.23898109404468038,0.9869198262243285,0.9966666666666667
results_targeted_informed,LOTO,peak_pck,motion_sym,appearance_sym,0.341330157634679,-0.13082629107981214,0.6994020145077157,0.9166666666666666
results_targeted_informed,LOTO,peak_pck,motion,random,0.5813071080022337,0.3166654009367473,0.7974226798852438,1.0
results_targeted_informed,LOBO,peak_pck,motion,appearance,0.37068512425845757,0.2477409090909091,0.47770151515151504,1.0
results_targeted_informed,LOBO,peak_pck,motion_sym,appearance_sym,0.3950123665223665,0.21704242424242418,0.5546464646464645,1.0
results_targeted_informed,LOBO,peak_pck,motion,random,0.5228096039762707,0.4072705627705628,0.6246939393939392,1.0
results_targeted_informed,JOINT,peak_pck,motion,appearance,0.4832709858867647,0.25672817574715273,0.7048469546311489,1.0
results_targeted_informed,JOINT,peak_pck,motion_sym,appearance_sym,0.3867107741210545,0.16772273126805598,0.5862673207976898,1.0
results_targeted_informed,JOINT,peak_pck,motion,random,0.3784812293263399,0.1855016969256462,0.5553729099808956,0.9966666666666667
results_eb_shrunk,LOTO,peak_pck,motion,appearance,0.7237181265356749,0.3088762693275307,0.9746184638820894,0.9966666666666667
results_eb_shrunk,LOTO,peak_pck,motion_sym,appearance_sym,0.34826899354582075,-0.12085349382146683,0.7587008232972706,0.93
