arm,benchmark,direction,law_relevant,n,rho,p_exact_2sided,d_min,d_max,spread_ratio,spread_range,rel_spread_pct,adj_flips_5pct_of_8,adj_flips_1pct_of_8,mc5_rank_selfcorr,mc5_rho_mean,mc5_rho_sd,mc5_p_rho_le_0,transfer_range_pck,transfer_range_over_floor_hi,transfer_range_over_floor_lo
FF,flyingthings,recall,False,9,-0.38333333333333336,0.3125,0.0270402915775775,0.0341324284672737,1.2622803407777297,0.0070921368896961975,21.491188163676313,7,5,0.7667166666666666,-0.13523666666666664,0.1896710297975008,0.772,14.771700000000003,16.413000000000004,36.92925
FF,flyingthings,precision,True,9,0.6666666666666667,0.05888999118165785,0.0003660532238427,0.0011415582848712,3.1185582055186303,0.0007755050610285,138.8328695350577,5,3,0.9300649999999999,0.6431933333333333,0.07466854432162924,0.0,14.771700000000003,16.413000000000004,36.92925
FF,kitti2012,recall,False,9,0.3,0.43662367724867723,0.0017560884589329,0.0046264273114502,2.634506985064683,0.0028703388525173,64.12780595302,7,6,0.805035,0.47020666666666666,0.14102293572323615,0.0,19.823800000000006,22.02644444444445,49.559500000000014
FF,kitti2012,precision,True,9,0.9166666666666666,0.0013117283950617284,0.0403012856841087,0.0419971533119678,1.0420797401142914,0.0016958676278591017,4.17624345327592,8,6,0.2710733333333333,0.2541333333333333,0.32737597142531194,0.2278,19.823800000000006,22.02644444444445,49.559500000000014
FF,kitti2015,recall,False,9,-0.7,0.04325396825396825,0.0064550787210464,0.0107504203915596,1.6654204938676418,0.004295341670513201,47.14405207662478,6,5,0.8985716666666665,-0.6442816666666665,0.09422340825871715,1.0,14.678000000000011,16.3088888888889,36.69500000000003
FF,kitti2015,precision,True,9,0.38333333333333336,0.3125,0.0563771054148674,0.0577028393745422,1.0235154669598412,0.0013257339596748005,2.339811624499473,8,8,0.14975499999999997,0.046945,0.34765887699406983,0.4493,14.678000000000011,16.3088888888889,36.69500000000003
TT,flyingthings,recall,True,9,0.08333333333333334,0.8431823192239859,0.0270402915775775,0.0341324284672737,1.2622803407777297,0.0070921368896961975,21.491188163676313,7,5,0.7681966666666665,0.3220883333333333,0.16681883046353677,0.0091,5.555199999999999,6.1724444444444435,13.887999999999998
TT,flyingthings,precision,False,9,0.7333333333333334,0.031123236331569666,0.0003660532238427,0.0011415582848712,3.1185582055186303,0.0007755050610285,138.8328695350577,5,3,0.9301866666666665,0.6855816666666665,0.07553384449297472,0.0,5.555199999999999,6.1724444444444435,13.887999999999998
TT,kitti2012,recall,True,9,0.65,0.06656194885361552,0.0017560884589329,0.0046264273114502,2.634506985064683,0.0028703388525173,64.12780595302,7,6,0.8037299999999999,0.7145549999999999,0.09254315376262758,0.0,2.849100000000007,3.1656666666666746,7.122750000000018
TT,kitti2012,precision,False,9,0.7999999999999999,0.01382826278659612,0.0403012856841087,0.0419971533119678,1.0420797401142914,0.0016958676278591017,4.17624345327592,8,6,0.27634,0.22766666666666666,0.33253370756461165,0.2563,2.849100000000007,3.1656666666666746,7.122750000000018
TT,kitti2015,recall,True,9,-0.09999999999999999,0.8099812610229277,0.0064550787210464,0.0107504203915596,1.6654204938676418,0.004295341670513201,47.14405207662478,6,5,0.8976699999999999,-0.011254999999999998,0.13725227169745172,0.5494,4.19250000000001,4.658333333333344,10.481250000000024
TT,kitti2015,precision,False,9,0.38333333333333336,0.3125,0.0563771054148674,0.0577028393745422,1.0235154669598412,0.0013257339596748005,2.339811624499473,8,8,0.14639166666666664,0.06811833333333332,0.3462984076029419,0.427,4.19250000000001,4.658333333333344,10.481250000000024
