table,ff_mean_precision,ff_mean_recall,ff_mean_sym,flyingthings_precision,flyingthings_recall,flyingthings_sym
seed0,0.5388888888888889,-0.20000000000000004,-0.03333333333333335,0.5833333333333334,-0.38333333333333336,-0.38333333333333336
seed1,0.5499999999999999,-0.19999999999999998,-0.07222222222222226,0.6666666666666667,-0.4666666666666666,-0.3666666666666667
seed2,0.5611111111111112,-0.30000000000000004,-0.06666666666666665,0.6666666666666667,-0.43333333333333335,-0.33333333333333337
seed3,0.3833333333333333,-0.25,-0.0833333333333333,0.5833333333333334,-0.38333333333333336,-0.2833333333333333
seed4,0.6166666666666667,-0.22777777777777777,-0.0333333333333334,0.6666666666666667,-0.43333333333333335,-0.3666666666666667
mean5_regen,0.6555555555555556,-0.2611111111111111,-0.011111111111111108,0.6666666666666667,-0.38333333333333336,-0.2833333333333333
canonical_paper,0.6555555555555556,-0.2611111111111111,-0.011111111111111108,0.6666666666666667,-0.38333333333333336,-0.2833333333333333
