arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
raft,FF,imagenet2dwarp,kitti2012,13.823675,0.1336935460567474,0.0003809107292909,0.0670372283930191
catspp,FF,imagenet2dwarp,kitti2015,78.94014999999999,0.1256783604621887,0.0006150949629954,0.0631467277125921
catspp,TT,imagenet2dwarp,kitti2015,93.2336,0.1256783604621887,0.0006150949629954,0.0631467277125921
glunet,FF,imagenet2dwarp,kitti2015,85.4709,0.1256783604621887,0.0006150949629954,0.0631467277125921
glunet,TT,imagenet2dwarp,kitti2015,89.5363,0.1256783604621887,0.0006150949629954,0.0631467277125921
raft,FF,imagenet2dwarp,kitti2015,18.0252125,0.1256783604621887,0.0006150949629954,0.0631467277125921
catspp,FF,imagenet2dwarp,pfpascal,9.00725,0.019353587180376,0.0045205019414424,0.0119370445609092
catspp,TT,imagenet2dwarp,pfpascal,45.3169,0.019353587180376,0.0045205019414424,0.0119370445609092
glunet,FF,imagenet2dwarp,pfpascal,6.0177,0.019353587180376,0.0045205019414424,0.0119370445609092
glunet,TT,imagenet2dwarp,pfpascal,29.9721,0.019353587180376,0.0045205019414424,0.0119370445609092
raft,FF,imagenet2dwarp,pfpascal,5.7248375000000005,0.019353587180376,0.0045205019414424,0.0119370445609092
catspp,FF,imagenet2dwarp,pfwillow,11.4111,0.0209745522588491,0.0098617309704422,0.0154181416146457
catspp,TT,imagenet2dwarp,pfwillow,48.9333,0.0209745522588491,0.0098617309704422,0.0154181416146457
glunet,FF,imagenet2dwarp,pfwillow,10.8778,0.0209745522588491,0.0098617309704422,0.0154181416146457
glunet,TT,imagenet2dwarp,pfwillow,31.7,0.0209745522588491,0.0098617309704422,0.0154181416146457
raft,FF,imagenet2dwarp,pfwillow,6.6805625,0.0209745522588491,0.0098617309704422,0.0154181416146457
catspp,FF,imagenet2dwarp,pointodyssey,51.33235,0.0022709758486598,0.0003154886362608,0.0012932322424603
catspp,TT,imagenet2dwarp,pointodyssey,41.4359,0.0022709758486598,0.0003154886362608,0.0012932322424603
glunet,FF,imagenet2dwarp,pointodyssey,82.9373,0.0022709758486598,0.0003154886362608,0.0012932322424603
glunet,TT,imagenet2dwarp,pointodyssey,89.2135,0.0022709758486598,0.0003154886362608,0.0012932322424603
raft,FF,imagenet2dwarp,pointodyssey,3.8248375,0.0022709758486598,0.0003154886362608,0.0012932322424603
catspp,FF,imagenet2dwarp,spair,3.93925,0.0044365571811795,0.0981179401278495,0.0512772486545145
catspp,TT,imagenet2dwarp,spair,23.1718,0.0044365571811795,0.0981179401278495,0.0512772486545145
glunet,FF,imagenet2dwarp,spair,2.6759,0.0044365571811795,0.0981179401278495,0.0512772486545145
glunet,TT,imagenet2dwarp,spair,6.6248,0.0044365571811795,0.0981179401278495,0.0512772486545145
raft,FF,imagenet2dwarp,spair,2.4022375,0.0044365571811795,0.0981179401278495,0.0512772486545145
catspp,FF,imagenet2dwarp,synthetic,19.63085,0.0011804586974903,0.1343450844287872,0.0677627715631388
catspp,TT,imagenet2dwarp,synthetic,39.7476,0.0011804586974903,0.1343450844287872,0.0677627715631388
