arch,arm,benchmark,n,precision,recall,sym,prec_spread,rec_spread
glunet,FF,flyingthings,9,-0.016666666666666666,0.7833333333333333,0.7999999999999999,3.1185582055186303,1.2622803407777297
glunet,FF,kitti2012,9,0.7833333333333333,0.21666666666666667,0.7166666666666667,1.0420797401142914,2.634506985064683
glunet,FF,kitti2015,9,0.25,0.16666666666666669,0.5833333333333334,1.0235154669598412,1.6654204938676418
