held_out_arch,regime,w_P,w_R,ratio_P_over_R,heldout_rho_fit,heldout_rho_rule,heldout_rho_avg,n_ctx
catspp,scratch,-7.215407782520092,-9.113252738138192,0.7917488946975234,0.5111111111111111,0.5171717171717173,0.5343434343434343,18
catspp,pretrained,1.5646586552157034,-7.890390444816616,-0.19829926873182363,0.3106060606060606,0.5065656565656567,0.604040404040404,18
glunet,scratch,-9.072957482186364,-7.260265843542616,1.2496729014759125,0.640909090909091,0.33787878787878795,0.6484848484848486,18
glunet,pretrained,-2.264450784504233,-2.782118966354717,0.8139302495289191,0.4681818181818182,0.7181818181818183,0.4287878787878789,18
raft,scratch,-8.751854606148859,-8.246852256737457,1.0612357701690156,0.6343434343434345,0.40101010101010104,0.6323232323232324,9
