split,family,gap_bin,acc,n,measure
LOTO,motion_meannn_sym,5-10,0.6829268292682927,574,predictor_accuracy
LOTO,motion_meannn_sym,>10,0.7142857142857143,1078,predictor_accuracy
LOTO,motion_policy,0-1,0.5816618911174785,349,predictor_accuracy
LOTO,motion_policy,1-2,0.6085271317829457,258,predictor_accuracy
LOTO,motion_policy,2-5,0.7216117216117216,546,predictor_accuracy
LOTO,motion_policy,5-10,0.6881533101045296,574,predictor_accuracy
LOTO,motion_policy,>10,0.75139146567718,1078,predictor_accuracy
LOTO,motion_precision,0-1,0.5272206303724928,349,predictor_accuracy
LOTO,motion_precision,1-2,0.45348837209302323,258,predictor_accuracy
LOTO,motion_precision,2-5,0.4597069597069597,546,predictor_accuracy
LOTO,motion_precision,5-10,0.519163763066202,574,predictor_accuracy
LOTO,motion_precision,>10,0.5204081632653061,1078,predictor_accuracy
LOTO,motion_recall,0-1,0.5644699140401146,349,predictor_accuracy
LOTO,motion_recall,1-2,0.6007751937984496,258,predictor_accuracy
LOTO,motion_recall,2-5,0.6941391941391941,546,predictor_accuracy
LOTO,motion_recall,5-10,0.6951219512195121,574,predictor_accuracy
LOTO,motion_recall,>10,0.7829313543599258,1078,predictor_accuracy
LOTO,motion_rule,0-1,0.5931232091690545,349,predictor_accuracy
LOTO,motion_rule,1-2,0.6201550387596899,258,predictor_accuracy
LOTO,motion_rule,2-5,0.7106227106227107,546,predictor_accuracy
LOTO,motion_rule,5-10,0.6463414634146342,574,predictor_accuracy
LOTO,motion_rule,>10,0.7115027829313544,1078,predictor_accuracy
LOTO,motion_w2,0-1,0.5213178294573644,516,predictor_accuracy
LOTO,motion_w2,1-2,0.6020942408376964,382,predictor_accuracy
LOTO,motion_w2,2-5,0.5987261146496815,785,predictor_accuracy
LOTO,motion_w2,5-10,0.6530864197530865,810,predictor_accuracy
LOTO,motion_w2,>10,0.7196367763904654,1762,predictor_accuracy
JOINT,appearance,ALL,0.5080213903743316,2805,predictor_accuracy
JOINT,motion_meannn_sym,ALL,0.6645276292335116,2805,predictor_accuracy
JOINT,motion_policy,ALL,0.685204991087344,2805,predictor_accuracy
JOINT,motion_precision,ALL,0.4823529411764706,2805,predictor_accuracy
JOINT,motion_recall,ALL,0.6370766488413547,2805,predictor_accuracy
JOINT,motion_rule,ALL,0.6716577540106952,2805,predictor_accuracy
JOINT,motion_w2,ALL,0.6533490011750881,4255,predictor_accuracy
LOBO,appearance,ALL,0.5882352941176471,2805,predictor_accuracy
LOBO,motion_meannn_sym,ALL,0.6452762923351159,2805,predictor_accuracy
LOBO,motion_policy,ALL,0.6980392156862745,2805,predictor_accuracy
LOBO,motion_precision,ALL,0.5083778966131908,2805,predictor_accuracy
LOBO,motion_recall,ALL,0.6930481283422459,2805,predictor_accuracy
LOBO,motion_rule,ALL,0.6784313725490196,2805,predictor_accuracy
LOBO,motion_w2,ALL,0.6481786133960047,4255,predictor_accuracy
LOTO,appearance,ALL,0.49732620320855614,2805,predictor_accuracy
LOTO,motion_meannn_sym,ALL,0.651336898395722,2805,predictor_accuracy
LOTO,motion_policy,ALL,0.6983957219251337,2805,predictor_accuracy
LOTO,motion_precision,ALL,0.503030303030303,2805,predictor_accuracy
LOTO,motion_recall,ALL,0.7037433155080214,2805,predictor_accuracy
LOTO,motion_rule,ALL,0.6748663101604279,2805,predictor_accuracy
LOTO,motion_w2,ALL,0.6500587544065805,4255,predictor_accuracy
n/a,cross_arch,0-1,0.5861774744027304,1172,empirical_reproducibility
n/a,cross_arch,1-2,0.6577181208053692,894,empirical_reproducibility
n/a,cross_arch,2-5,0.7668678003291278,1823,empirical_reproducibility
n/a,cross_arch,5-10,0.7224744608399546,1762,empirical_reproducibility
n/a,cross_arch,>10,0.8101864006300866,3809,empirical_reproducibility
n/a,same_arch,0-1,0.5725552050473186,634,empirical_reproducibility
n/a,same_arch,1-2,0.6838235294117647,408,empirical_reproducibility
n/a,same_arch,2-5,0.7837528604118993,874,empirical_reproducibility
n/a,same_arch,5-10,0.8234086242299795,974,empirical_reproducibility
n/a,same_arch,>10,0.8929347826086956,1840,empirical_reproducibility
n/a,cross_arch,ALL,0.7433403805496829,9460,empirical_reproducibility
n/a,same_arch,ALL,0.7974630021141649,4730,empirical_reproducibility
