regime,direction,raw_motion,raw_appearance,partial_appearance_given_motion,partial_motion_given_appearance,n_ctx
scratch,precision/off-target,0.4222222222222223,-0.23131313131313133,-0.3602688228641308,0.4710492072222543,45
scratch,recall/missing-support,0.23292929292929293,-0.2474747474747475,-0.24563456698005184,0.12727272727272726,45
scratch,symmetric,0.4989898989898991,-0.2591919191919192,-0.31858585858585864,0.506030326514276,45
pretrained,precision/off-target,-0.07500000000000001,-0.2351010101010101,-0.24191919191919198,-0.07550505050505052,36
pretrained,recall/missing-support,0.6123737373737375,-0.21540404040404043,-0.19611656074303713,0.5429292929292929,36
pretrained,symmetric,0.39343434343434347,-0.2118686868686869,-0.21464646464646467,0.40584781687433624,36
