source,benchmark,dTB_full,dBT_full,dTB_xy,dBT_xy,dTB_flow,dBT_flow
flyingthings,flyingthings,0.032248693653624885,0.031704875360341694,0.0026805865900217953,0.0026832131572555517,0.0015757913102490792,0.001497062725334414
flyingthings,kitti2012,0.16339154928168978,0.0231548625317521,0.08927462668052974,0.00266636132414297,0.028506211145166674,0.00040626776559147865
flyingthings,kitti2015,0.18057650393663405,0.025896598906688446,0.11363479220437493,0.002660614431641388,0.0178673057269958,0.0005896446749544028
flyingthings,pointodyssey,0.04525912921509969,0.018406135396393034,0.0030508357602661022,0.0026714078122148472,0.005574573295875724,0.0003326078021449499
flyingthings,synthetic,0.05023321390207496,0.18003725760405728,0.0028420226905852435,0.0026718964371749135,0.0022856989186711644,0.053508712168588456
flyingthings,spair,0.07285882017278582,0.160565123572171,0.01785263827110865,0.0026646294103385947,0.002427781116700626,0.03299105686897308
flyingthings,pfpascal,0.107439817972403,0.06492516834317158,0.023795386488619476,0.0027005229336487155,0.00876111313032499,0.00393262621515995
flyingthings,pfwillow,0.1261720569179183,0.07106917051867254,0.0625732228441771,0.002751872182148188,0.005522427535413641,0.0056790052889925825
flyingthings,tss,0.06530282131804825,0.07452903583973094,0.010596103675292767,0.002670692308579662,0.00368187508201978,0.010721010984743897
imagenet2dwarp,flyingthings,0.07005580414440708,0.05269282311926961,0.002678521404784596,0.0027034439031522334,0.0042931240276987675,0.0033272630957316023
imagenet2dwarp,kitti2012,0.3171264418715028,0.03977285373705688,0.07892288654048495,0.0024928553293040584,0.09819730126522462,0.0009378862721976321
imagenet2dwarp,kitti2015,0.29822589545463163,0.039563563626687864,0.10216256508518609,0.002459428851549241,0.06589462137208113,0.000955301186580432
imagenet2dwarp,pointodyssey,0.09651431191467476,0.039234109650493794,0.002891392998451828,0.002580864757594966,0.011713826233411405,0.0009350180274471569
imagenet2dwarp,synthetic,0.053495623363692964,0.2483696860476921,0.0027152609641001367,0.0025940975580414378,0.0022718167430330824,0.1334257939729739
imagenet2dwarp,spair,0.06153067142862416,0.23351987923745116,0.016531245624048754,0.002558886943210652,0.0023613966681288066,0.08485319983544681
imagenet2dwarp,pfpascal,0.1269209646234916,0.06214453728149289,0.022539463789641043,0.0026070899072755766,0.012713424169867097,0.003343470172759429
imagenet2dwarp,pfwillow,0.12232589710991235,0.07558863020969357,0.055985455138224484,0.0024620661708446997,0.0070626836609704435,0.007210501647586837
imagenet2dwarp,tss,0.08531411709424873,0.0903957489372412,0.008768952219264737,0.0024707897294843975,0.00366932204949632,0.02354551668081684
movi_f,flyingthings,0.014882616310301593,0.06217169156208744,0.00266756965198225,0.0026706773621292612,0.00016208298623844388,0.014235404349483729
movi_f,kitti2012,0.10969312062738706,0.028953727784061835,0.08795826379864642,0.0026633295905259284,0.0005355440730935846,0.0008807325885441987
movi_f,kitti2015,0.12791504733999234,0.037947643896566144,0.11221912022018672,0.0026714349750752127,0.00028252911113181486,0.0021718519532669366
movi_f,pointodyssey,0.011871342819810608,0.022249516961090305,0.0030458867722689097,0.002673420683483698,0.0002126959806281065,0.002036844114384629
movi_f,synthetic,0.04093681758211159,0.43042837421331825,0.002840793459558753,0.0026701994349387567,0.001872725547865465,0.31114656765085863
movi_f,spair,0.07069777752813777,0.4364270789139049,0.017791300313244798,0.002634154203897561,0.0018222282412152441,0.29679502491897386
movi_f,pfpascal,0.09368119616233764,0.16211859966930733,0.023814582067879286,0.002694060909890203,0.0042421628972061564,0.053222208331598644
movi_f,pfwillow,0.11740410595999178,0.17365147282723156,0.06253837771652668,0.002676453682970979,0.002688645893512697,0.06734678896807254
movi_f,tss,0.04983259585507784,0.16556894343694553,0.010546933320025162,0.0026539251796731697,0.0004811631569107095,0.07615268438575226
pointodyssey,flyingthings,0.01863921417443107,0.04457613869739458,0.002674941507799478,0.003126777400616538,0.00037650496847605884,0.004972758175467572
pointodyssey,kitti2012,0.08819606773793125,0.02664042374487908,0.056708960589866055,0.00251919341019381,0.006789681093823819,0.0006622612399924933
pointodyssey,kitti2015,0.1010412786322701,0.030634533130853864,0.07586197806637993,0.0021887876970325616,0.0036508325255554955,0.0011120929393728793
pointodyssey,pointodyssey,0.01713787842375926,0.017384144698265484,0.0024858443549712,0.002544104471281873,0.0005990761698282371,0.0005004621797716127
pointodyssey,synthetic,0.037288073214306654,0.2539534207992965,0.0025029986832895293,0.0027343324764360455,0.0018520954077973879,0.15668885465423105
pointodyssey,spair,0.059997959846311344,0.23733139026107244,0.014313473124783892,0.002476205095492737,0.0017987924552234117,0.12073250525354517
pointodyssey,pfpascal,0.08819285174130544,0.08866498484200439,0.019832081591368417,0.0026243318330045227,0.004607515134367952,0.011748938148976285
pointodyssey,pfwillow,0.0921794617115491,0.09379001193936337,0.04428957980873249,0.0021897257214341026,0.0028983894785782984,0.015729163545491223
pointodyssey,tss,0.039079732584207945,0.09567142141354862,0.0054777636118097444,0.0021853820651556157,0.0006256305681972661,0.029958671332780185
sintel,flyingthings,0.01954030574473826,0.0440407061209339,0.0026811956925683147,0.0026917466939994287,0.0003942706137209756,0.004976083029055524
sintel,kitti2012,0.11999287622697438,0.02351446695654615,0.08572499063715301,0.0026159401076338044,0.00784103366291964,0.0006604323656172333
sintel,kitti2015,0.1380593811630058,0.03141708198713555,0.10959295380546343,0.0026596484175752362,0.004247980603379336,0.001102724541419326
sintel,pointodyssey,0.020752583371691925,0.018642493489881763,0.0030170881345972745,0.0026599790524514974,0.00083713497616277,0.0007092776696157387
sintel,synthetic,0.042958742550016284,0.3561578834280907,0.0028204417400234188,0.002661488932787448,0.0017567923161519309,0.20876696525897848
sintel,spair,0.0705023935463536,0.32041591722636603,0.01749441043805741,0.0026045208803454323,0.0018311680562613489,0.15222928891182702
sintel,pfpascal,0.09702901790724171,0.10787811529172002,0.023597192266326613,0.002658325011823094,0.00515452593328346,0.016803774903061917
sintel,pfwillow,0.11756418809889896,0.12529704456444204,0.06091735395351237,0.0026053083570506804,0.002816030470005465,0.029009092350002996
sintel,tss,0.05252875017326383,0.12948712525337674,0.010191772781088805,0.0026395587920883517,0.0010168869868373805,0.04620411110045875
spair,flyingthings,0.16265613932909778,0.06553578952020059,0.0026663896916560696,0.01275353383290473,0.02699505270850692,0.001978315745878643
spair,kitti2012,0.6006068867391368,0.0483574308029522,0.0481430026492398,0.008480145172844974,0.32030641715474073,0.0015660532084607833
spair,kitti2015,0.5743333785077579,0.049501229710693914,0.06662650399337607,0.00808140505736837,0.2851774951161428,0.001702491575726415
spair,pointodyssey,0.2550169222156848,0.0525228607053928,0.002450611279982594,0.010199875320858412,0.13554845716944405,0.0016852480347174016
spair,synthetic,0.07219593980395417,0.06046678323608212,0.002453801336651022,0.010730703500368036,0.005382909089802084,0.0036456541788097993
spair,spair,0.06395510580736442,0.05870934971422311,0.013268692613319482,0.009165916925394244,0.004108672411852034,0.0036346666849020014
spair,pfpascal,0.24446840175031964,0.05398128416748408,0.019038496068463397,0.009980973677229062,0.1022682431419811,0.002034079342847526
spair,pfwillow,0.1814598876752909,0.04932685631047085,0.03930908485875328,0.008696421306146698,0.05329669166244709,0.002029668640599191
spair,tss,0.14630296845812035,0.04751872269488807,0.0043079322985253845,0.008113679684198917,0.04012239355235297,0.002033664298594356
synthetic,flyingthings,0.07691814753139765,0.042540165831160666,0.002674515171330187,0.0028513430162713255,0.006655917119266105,0.002063025958659146
synthetic,kitti2012,0.3173555016045933,0.03126330647623419,0.0668113095741956,0.002329065214651065,0.11948615288882915,0.0015104630583388226
synthetic,kitti2015,0.3128351431085298,0.031223616210996504,0.08795777398158648,0.0022437397321908564,0.08838901740546774,0.0015949506153021809
synthetic,pointodyssey,0.11124451215518225,0.03197981352502388,0.0027006345984408107,0.0025446845411836692,0.027522836172434534,0.0016987318281658076
synthetic,synthetic,0.05693569213637063,0.09456539311663742,0.0025875892641885018,0.002605336740685715,0.0021813004956971185,0.020845533290463174
synthetic,spair,0.06341323027046729,0.08329492319152773,0.015088859880059305,0.002439901355749596,0.0026416423333741057,0.010887540781304295
synthetic,pfpascal,0.13866271665031737,0.04553289980306896,0.021011279357403465,0.002529610993714429,0.023529231132593097,0.0021676185671901955
synthetic,pfwillow,0.1307167328645067,0.047929700637068036,0.04884690805952997,0.0022806750536811943,0.014884055477488653,0.0024856417169610463
