split,family,gap_bin,acc,n,measure
LOTO,motion_recall,0-1,0.562942008486563,707,predictor_accuracy
LOTO,motion_recall,1-2,0.5678391959798995,398,predictor_accuracy
LOTO,motion_recall,2-5,0.6245572609208973,847,predictor_accuracy
LOTO,motion_recall,5-10,0.6198704103671706,926,predictor_accuracy
LOTO,motion_recall,>10,0.6962587190868738,1577,predictor_accuracy
LOTO,motion_rule,0-1,0.5615275813295615,707,predictor_accuracy
LOTO,motion_rule,1-2,0.6482412060301508,398,predictor_accuracy
LOTO,motion_rule,2-5,0.6611570247933884,847,predictor_accuracy
LOTO,motion_rule,5-10,0.6501079913606912,926,predictor_accuracy
LOTO,motion_rule,>10,0.7660114140773621,1577,predictor_accuracy
LOTO,motion_w2,0-1,0.5634469696969697,1056,predictor_accuracy
LOTO,motion_w2,1-2,0.5654450261780105,573,predictor_accuracy
LOTO,motion_w2,2-5,0.5651815181518152,1212,predictor_accuracy
LOTO,motion_w2,5-10,0.659852820932134,1223,predictor_accuracy
LOTO,motion_w2,>10,0.7357330992098332,2278,predictor_accuracy
JOINT,appearance,ALL,0.4808080808080808,4455,predictor_accuracy
JOINT,motion_meannn_sym,ALL,0.6707070707070707,4455,predictor_accuracy
JOINT,motion_policy,ALL,0.683726150392817,4455,predictor_accuracy
JOINT,motion_precision,ALL,0.5407407407407407,4455,predictor_accuracy
JOINT,motion_recall,ALL,0.569023569023569,4455,predictor_accuracy
JOINT,motion_rule,ALL,0.6821548821548822,4455,predictor_accuracy
JOINT,motion_w2,ALL,0.6449069694102807,6342,predictor_accuracy
LOBO,appearance,ALL,0.5683501683501684,4455,predictor_accuracy
LOBO,motion_meannn_sym,ALL,0.6612794612794612,4455,predictor_accuracy
LOBO,motion_policy,ALL,0.6945005611672278,4455,predictor_accuracy
LOBO,motion_precision,ALL,0.5766554433221099,4455,predictor_accuracy
LOBO,motion_recall,ALL,0.6269360269360269,4455,predictor_accuracy
LOBO,motion_rule,ALL,0.683726150392817,4455,predictor_accuracy
LOBO,motion_w2,ALL,0.6425417849258909,6342,predictor_accuracy
LOTO,appearance,ALL,0.4644219977553311,4455,predictor_accuracy
LOTO,motion_meannn_sym,ALL,0.6612794612794612,4455,predictor_accuracy
LOTO,motion_policy,ALL,0.6909090909090909,4455,predictor_accuracy
LOTO,motion_precision,ALL,0.5683501683501684,4455,predictor_accuracy
LOTO,motion_recall,ALL,0.6341189674523008,4455,predictor_accuracy
LOTO,motion_rule,ALL,0.6790123456790124,4455,predictor_accuracy
LOTO,motion_w2,ALL,0.6444339325134028,6342,predictor_accuracy
n/a,cross_arch,0-1,0.5774125132555673,3772,empirical_reproducibility
n/a,cross_arch,1-2,0.616,2125,empirical_reproducibility
n/a,cross_arch,2-5,0.6717420510523959,4466,empirical_reproducibility
n/a,cross_arch,5-10,0.7135300101729399,4915,empirical_reproducibility
n/a,cross_arch,>10,0.765857109172365,8482,empirical_reproducibility
n/a,same_arch,0-1,0.5780254777070064,1884,empirical_reproducibility
n/a,same_arch,1-2,0.6147308781869688,1059,empirical_reproducibility
n/a,same_arch,2-5,0.7008658008658009,2310,empirical_reproducibility
n/a,same_arch,5-10,0.7685519454472524,2493,empirical_reproducibility
n/a,same_arch,>10,0.8376874697629415,4134,empirical_reproducibility
n/a,cross_arch,ALL,0.694023569023569,23760,empirical_reproducibility
n/a,same_arch,ALL,0.7355218855218856,11880,empirical_reproducibility
