rung,dBT_flow,dTB_flow,dBT_joint,dTB_joint,dBT_joint_csv,dTB_joint_csv
0.25x,0.007237960584461689,6.627465243269626e-09,0.010255245491862297,0.04820352792739868,0.0102552454918622,0.0482035279273986
0.5x,0.004709480796009302,1.980926178646314e-08,0.00930162612348795,0.04810662567615509,0.0093016261234879,0.048106625676155
1x,0.0021469960920512676,7.062867268814443e-08,0.00821922067552805,0.047975704073905945,0.008219220675528,0.0479757040739059
1.5x,0.0010854160645976663,2.226330622079331e-07,0.008139856159687042,0.047877032309770584,0.008139856159687,0.0478770323097705
2x,0.0006136077572591603,7.122836791495502e-07,0.00893372856080532,0.04784812033176422,0.0089337285608053,0.0478481203317642
