source,config,id_real_ratio,source_sensitivity
flyingthings,FF,0.8431991147736755,2.312831449380576
flyingthings,FT,0.6490016982169408,3.611369971104284
imagenet2dwarp,FF,0.9345354183860491,0.9714922274979725
imagenet2dwarp,FT,0.8527408741044452,1.5100944627117499
imagenet2dwarp,TF,0.3801053423308211,6.492571717325214
imagenet2dwarp,TT,0.38757768126681513,6.257285408131902
movi_f,FF,0.7115002331569813,1.7145842302343892
movi_f,FT,0.34917320352399567,6.121084500889809
pointodyssey,FF,0.6271162292765602,3.201515093450954
pointodyssey,FT,0.513633053520808,4.549566579979393
pointodyssey,TF,0.016603220651156506,9.77925704113504
pointodyssey,TT,0.031392798208780756,11.278323566442324
sintel,FF,0.5504313821685807,6.476704922580316
sintel,FT,0.543401780728448,4.5871113642375265
spair,FF,0.9959339048388945,0.3604324004749919
spair,FT,0.9972522996194968,0.5190692390306116
spair,TT,0.528200849918808,4.870808746166577
synthetic,FF,0.9734326247064868,1.1209753796763868
synthetic,FT,0.8706658392377635,1.5931311569838669
synthetic,TF,0.34866697006186215,11.405436812869763
synthetic,TT,0.3555990446795547,7.892142736356545
synthetic_2d_warp,FF,0.9102488912813832,1.3924057812816721
synthetic_2d_warp,FT,0.8838622292168665,1.8113266390877285
synthetic_2d_warp,TF,0.36769789676805875,5.990400329190047
synthetic_2d_warp,TT,0.4585915972131902,5.270980289324039
synthetic_large_zoom,FF,0.8979818326666118,1.977970974226088
synthetic_large_zoom,FT,0.7818659546109757,2.381395583796655
synthetic_large_zoom,TF,0.23177067733867765,9.036875708305907
synthetic_large_zoom,TT,0.24534528842036613,7.915296845137417
synthetic_random_flipping,FF,0.9793654337630051,0.5321636964837037
synthetic_random_flipping,FT,0.9155834230212481,1.022402267052441
synthetic_random_flipping,TF,0.3074795511566405,15.39452261875604
synthetic_random_flipping,TT,0.3763100018840849,9.838718063871664
synthetic_small_zoom,FF,0.924785911600155,1.3605877585642054
synthetic_small_zoom,FT,0.7240002665966346,2.7150557586225164
synthetic_small_zoom,TF,0.1584037676125786,9.600605852774203
synthetic_small_zoom,TT,0.1538861694255236,8.218865867812934
