family,source,backbone,encoder,condition,id_real_ratio,source_sensitivity,flow_mag,roughness
glunet,spair,ImageNet,frozen,realmotion,1.1839,31.9268,30.5566,0.0225
glunet,spair,ImageNet,frozen,semantic,0.2652,42.5131,141.9243,0.0084
flowformer,flyingthings,scratch,trained,realmotion,0.1202,47.9555,2.2769,0.0322
flowformer,flyingthings,scratch,trained,semantic,0.0021,52.4272,102.3966,0.0113
flowformer,flyingthings,scratch,frozen,realmotion,0.6590,14.6065,3.0941,0.0260
flowformer,flyingthings,scratch,frozen,semantic,0.0282,16.8973,36.3004,0.0148
flowformer,flyingthings,ImageNet,trained,realmotion,0.0859,52.4147,2.4255,0.0333
flowformer,flyingthings,ImageNet,trained,semantic,0.0014,47.9333,148.7974,0.0071
flowformer,flyingthings,ImageNet,frozen,realmotion,0.2154,24.6218,3.5748,0.0308
flowformer,flyingthings,ImageNet,frozen,semantic,0.0109,25.1539,69.4125,0.0094
flowformer,movi_f,scratch,trained,realmotion,0.9923,0.0035,0.0490,0.0200
flowformer,movi_f,scratch,trained,semantic,0.9967,0.0019,0.0461,0.0137
flowformer,movi_f,scratch,frozen,realmotion,0.9982,0.0033,0.0252,0.0493
flowformer,movi_f,scratch,frozen,semantic,0.9814,0.0046,0.0281,0.0595
flowformer,movi_f,ImageNet,trained,realmotion,0.0177,7.3721,2.2349,0.0320
flowformer,movi_f,ImageNet,trained,semantic,0.0033,8.6075,14.7086,0.0549
flowformer,movi_f,ImageNet,frozen,realmotion,0.0284,8.8612,2.0518,0.0297
flowformer,movi_f,ImageNet,frozen,semantic,0.0100,6.1891,9.5793,0.0447
flowformer,pointodyssey,scratch,trained,realmotion,1.0039,0.0020,0.0341,0.0630
flowformer,pointodyssey,scratch,trained,semantic,1.0059,0.0011,0.0351,0.0718
flowformer,pointodyssey,scratch,frozen,realmotion,1.0000,0.0000,0.0268,0.0059
flowformer,pointodyssey,scratch,frozen,semantic,1.0000,0.0000,0.0268,0.0059
flowformer,sintel,scratch,trained,realmotion,0.8348,32.6384,6.9981,0.0097
