split,variant_filter,n_rows,n_contexts,head,ctx_spearman,ctx_pearson,median_std_ratio,pooled_std_ratio,abs_r_L_plus_head,mean_abs_head
LOTO,all_variants,891,81,g,0.4364758698092031,0.19332017976749782,0.3945185676168883,0.4292634808321728,0.8776375864293448,3.203531815542259
LOTO,all_variants,891,81,g_global_gain,0.45465768799102135,0.3059971608075868,1.0927695419673908,1.1196269786316675,0.8400597512726158,9.167423132269022
LOTO,all_variants,891,81,g_variant_gain,0.45578002244668914,0.2773833465552965,0.8318689683398389,1.118658548061934,0.8336394982673947,8.787515690965797
LOTO,all_variants,891,81,g_context_gain,0.4222222222222223,0.2600687991201929,1.188144451521518,1.1306322225484413,0.8283831363203963,8.869225672552858
LOTO,all_variants,891,81,g_shrink_gain,0.4359147025813693,0.2775571921844289,1.1661862261154623,1.0789146714510818,0.8382615037215828,8.841989012023838
LOTO,all_variants,891,81,g_benchsim_gain,0.4531986531986532,0.24268722717197155,1.534198638287323,1.458576914418299,0.7833454698568283,12.37056760905934
LOTO,all_variants,891,81,g_profilesim_gain,0.44769921436588106,0.2244049553832011,1.2467132805451175,1.8950362484772338,0.7182855379210789,14.66968057968894
LOBO,all_variants,891,81,g,0.4420637596533508,0.3524363166241251,0.33807577871276756,0.33903466189194137,0.7175639818685597,2.830073601725635
LOBO,all_variants,891,81,g_global_gain,0.4420637596533508,0.3520635002824686,0.997915116382607,1.0706582484273273,0.6532027927763977,8.695289701300252
LOBO,all_variants,891,81,g_variant_gain,0.4420637596533508,0.36022123005038953,0.7002485288994992,1.070658248427327,0.6534252061298964,8.426359892606323
LOBO,all_variants,891,81,g_context_gain,0.4420637596533508,0.36022123005038953,0.7002485288994992,1.070658248427327,0.6534252061298964,8.426359892606323
LOBO,all_variants,891,81,g_shrink_gain,0.4420637596533508,0.36022123005038953,0.7002485288994992,1.070658248427327,0.6534252061298964,8.426359892606323
LOBO,all_variants,891,81,g_benchsim_gain,0.4420637596533508,0.3960341271908726,1.2886971733596435,1.1417895808749206,0.6449652609195481,10.812052195688485
LOBO,all_variants,891,81,g_profilesim_gain,0.4420637596533508,0.2993143124275615,0.9600598489554357,1.5890603633248117,0.5907041505380999,13.079087861270134
JOINT,all_variants,891,81,g,0.4628507295173963,0.24460164474698848,0.31952542133617756,0.33532941908673375,-0.060034020244423926,3.503351592307542
JOINT,all_variants,891,81,g_global_gain,0.4939393939393939,0.33797988376849275,0.9934916259031121,0.9746160183537639,-0.08989958488677557,10.344131533799274
JOINT,all_variants,891,81,g_variant_gain,0.4967452300785634,0.2971947040825162,0.8606722918141116,0.9773970115636818,-0.10090875257169396,9.927434292627003
JOINT,all_variants,891,81,g_context_gain,0.4967452300785634,0.2971947040825162,0.8606722918141116,0.9773970115636818,-0.10090875257169396,9.927434292627003
JOINT,all_variants,891,81,g_shrink_gain,0.4967452300785634,0.2971947040825162,0.8606722918141116,0.9773970115636818,-0.10090875257169396,9.927434292627003
JOINT,all_variants,891,81,g_benchsim_gain,0.4708193041526375,0.2824140552254141,1.2069946794592143,1.2357521331276669,-0.03668470198076973,17.619009522720933
JOINT,all_variants,891,81,g_profilesim_gain,0.4565656565656567,0.247724366383207,1.032424339054738,1.6810116588263582,0.0971868730829212,18.815067527286107
