train_dataset,benchmark,model_family,pretrained,freeze,auc_normalized,peak_pck,context_id,flow_mean_nn_eval_to_train_k1,flow_mean_nn_train_to_eval_k1,flow_eval_covered_by_train_eps1px,flow_train_covered_by_eval_eps1px,flow_eval_covered_by_train_eps4px,flow_train_covered_by_eval_eps4px,flow_eval_covered_by_train_eps16px,flow_train_covered_by_eval_eps16px,flow_km_eval_covered_by_train_eps1px_weighted,flow_km_train_covered_by_eval_eps1px_weighted,flow_km_eval_covered_by_train_eps4px_weighted,flow_km_train_covered_by_eval_eps4px_weighted,flow_km_eval_covered_by_train_eps16px_weighted,flow_km_train_covered_by_eval_eps16px_weighted,dino_eval_covered_by_train_qnorm_k1,dino_train_covered_by_eval_qnorm_k1,dino_mean_nn_eval_to_train_k1,dino_mean_nn_train_to_eval_k1,dino_eval_covered_by_train_null80,dino_train_covered_by_eval_null80,dino_eval_covered_by_train_null90,dino_train_covered_by_eval_null90,dino_eval_covered_by_train_null95,dino_train_covered_by_eval_null95,dino_eval_covered_by_train_null99,dino_train_covered_by_eval_null99,flow_fid,dino_fid,flow_sliced_w2,dino_sliced_w2,flow_mmd,dino_mmd,flow_train_isolation,flow_eval_isolation,dino_train_isolation,dino_eval_isolation,flow_kl_train_to_eval_k5,flow_kl_eval_to_train_k5,flow_kl_train_to_eval_k20,flow_kl_eval_to_train_k20,log_train_n_vectors,log_eval_n_vectors,log_train_n_samples,train_zero_image_frac,log_train_valid_vectors_per_sample,log_train_valid_vectors_per_sample_capped,log_train_sampled_vectors_per_sample,log_train_retained_vectors_per_sample,log_train_valid_vectors_mean,log_train_valid_vectors_median,log_train_valid_vectors_p10,log_train_valid_vectors_p90,log_train_valid_vectors_p95,log_train_sampled_vectors_mean,log_train_sampled_vectors_median,log_eval_n_samples,eval_zero_image_frac,log_eval_valid_vectors_per_sample,log_eval_valid_vectors_per_sample_capped,log_eval_sampled_vectors_per_sample,log_eval_retained_vectors_per_sample,log_eval_valid_vectors_mean,log_eval_valid_vectors_median,log_eval_valid_vectors_p10,log_eval_valid_vectors_p90,log_eval_valid_vectors_p95,log_eval_sampled_vectors_mean,log_eval_sampled_vectors_median,random_train,random_eval
flyingthings,flyingthings,catspp,False,False,57.5787,76.3251,flyingthings_catspp_False_False,0.000642959261313,0.0007146708667278,0.084768055232766,0.0989766407453775,0.8305478303328805,0.8391515793528506,0.9883898422974472,0.9891871743119756,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,20.02736307170149,0.0176442600319111,2.3815691471099854,0.0034879783634096,0.0062773535527866,0.0133829333951408,0.0046959778060226606,0.015146746369686655,0.7023995444178581,,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,16.29727636379519,16.477140973329043,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037415,9.210440366976517,6.932447891572509,6.932447891572509,12.476238550037415,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932447891572509,6.932447891572509,0.30471707975443135,0.7777919354289483
flyingthings,flyingthings,catspp,False,True,57.09076,76.5009,flyingthings_catspp_False_True,0.000642959261313,0.0007146708667278,0.084768055232766,0.0989766407453775,0.8305478303328805,0.8391515793528506,0.9883898422974472,0.9891871743119756,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,20.02736307170149,0.0176442600319111,2.3815691471099854,0.0034879783634096,0.0062773535527866,0.0133829333951408,0.0046959778060226606,0.015146746369686655,0.7023995444178581,,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,16.29727636379519,16.477140973329043,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037415,9.210440366976517,6.932447891572509,6.932447891572509,12.476238550037415,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932447891572509,6.932447891572509,0.30471707975443135,0.7777919354289483
flyingthings,flyingthings,catspp,True,False,66.51796999999999,85.2977,flyingthings_catspp_True_False,0.000642959261313,0.0007146708667278,0.084768055232766,0.0989766407453775,0.8305478303328805,0.8391515793528506,0.9883898422974472,0.9891871743119756,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,20.02736307170149,0.0176442600319111,2.3815691471099854,0.0034879783634096,0.0062773535527866,0.0133829333951408,0.0046959778060226606,0.015146746369686655,0.7023995444178581,,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,16.29727636379519,16.477140973329043,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037415,9.210440366976517,6.932447891572509,6.932447891572509,12.476238550037415,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932447891572509,6.932447891572509,0.30471707975443135,0.7777919354289483
flyingthings,flyingthings,catspp,True,True,66.11575,85.2894,flyingthings_catspp_True_True,0.000642959261313,0.0007146708667278,0.084768055232766,0.0989766407453775,0.8305478303328805,0.8391515793528506,0.9883898422974472,0.9891871743119756,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,20.02736307170149,0.0176442600319111,2.3815691471099854,0.0034879783634096,0.0062773535527866,0.0133829333951408,0.0046959778060226606,0.015146746369686655,0.7023995444178581,,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,16.29727636379519,16.477140973329043,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037415,9.210440366976517,6.932447891572509,6.932447891572509,12.476238550037415,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932447891572509,6.932447891572509,0.30471707975443135,0.7777919354289483
flyingthings,flyingthings,raft,True,False,57.83034500000001,79.60585,flyingthings_raft_True_False,0.000642959261313,0.0007146708667278,0.084768055232766,0.0989766407453775,0.8305478303328805,0.8391515793528506,0.9883898422974472,0.9891871743119756,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,20.02736307170149,0.0176442600319111,2.3815691471099854,0.0034879783634096,0.0062773535527866,0.0133829333951408,0.0046959778060226606,0.015146746369686655,0.7023995444178581,,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,16.29727636379519,16.477140973329043,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037415,9.210440366976517,6.932447891572509,6.932447891572509,12.476238550037415,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932447891572509,6.932447891572509,0.30471707975443135,0.7777919354289483
flyingthings,kitti2012,catspp,False,False,71.71249999999999,94.359,kitti2012_catspp_False_False,8.036532381083816e-05,0.0612545646727085,0.1152293411726804,0.0040602328903441,0.939037834246134,0.1259310029586115,0.9999949661726804,0.463158381350582,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16515.7308654207,0.4709082209295125,63.95627975463867,0.0275065526366233,0.5577224658785207,0.0165418689437072,0.0046959778060226606,0.08634323433862942,0.7023995444178581,,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,16.29727636379519,12.89247966213322,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976517,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598425,10.057536084289307,6.932447891572509,6.932447891572509,0.30471707975443135,0.06603069756121605
flyingthings,kitti2012,catspp,False,True,72.15387999999999,94.1642,kitti2012_catspp_False_True,8.036532381083816e-05,0.0612545646727085,0.1152293411726804,0.0040602328903441,0.939037834246134,0.1259310029586115,0.9999949661726804,0.463158381350582,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16515.7308654207,0.4709082209295125,63.95627975463867,0.0275065526366233,0.5577224658785207,0.0165418689437072,0.0046959778060226606,0.08634323433862942,0.7023995444178581,,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,16.29727636379519,12.89247966213322,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976517,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598425,10.057536084289307,6.932447891572509,6.932447891572509,0.30471707975443135,0.06603069756121605
flyingthings,kitti2012,catspp,True,False,77.11013,98.098,kitti2012_catspp_True_False,8.036532381083816e-05,0.0612545646727085,0.1152293411726804,0.0040602328903441,0.939037834246134,0.1259310029586115,0.9999949661726804,0.463158381350582,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16515.7308654207,0.4709082209295125,63.95627975463867,0.0275065526366233,0.5577224658785207,0.0165418689437072,0.0046959778060226606,0.08634323433862942,0.7023995444178581,,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,16.29727636379519,12.89247966213322,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976517,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598425,10.057536084289307,6.932447891572509,6.932447891572509,0.30471707975443135,0.06603069756121605
flyingthings,kitti2012,catspp,True,True,77.10857,97.709,kitti2012_catspp_True_True,8.036532381083816e-05,0.0612545646727085,0.1152293411726804,0.0040602328903441,0.939037834246134,0.1259310029586115,0.9999949661726804,0.463158381350582,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16515.7308654207,0.4709082209295125,63.95627975463867,0.0275065526366233,0.5577224658785207,0.0165418689437072,0.0046959778060226606,0.08634323433862942,0.7023995444178581,,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,16.29727636379519,12.89247966213322,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976517,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598425,10.057536084289307,6.932447891572509,6.932447891572509,0.30471707975443135,0.06603069756121605
flyingthings,kitti2012,raft,True,False,74.937165,96.60024999999999,kitti2012_raft_True_False,8.036532381083816e-05,0.0612545646727085,0.1152293411726804,0.0040602328903441,0.939037834246134,0.1259310029586115,0.9999949661726804,0.463158381350582,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16515.7308654207,0.4709082209295125,63.95627975463867,0.0275065526366233,0.5577224658785207,0.0165418689437072,0.0046959778060226606,0.08634323433862942,0.7023995444178581,,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,16.29727636379519,12.89247966213322,8.672999642554437,0.00017117425539198904,12.476155508864025,9.210440366976517,6.932276869692982,6.932447891572509,12.476155508864025,12.476653064769005,12.476653064769005,12.476653064769005,12.476653064769005,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976517,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598425,10.057536084289307,6.932447891572509,6.932447891572509,0.30471707975443135,0.06603069756121605
