train_dataset,benchmark,model_family,pretrained,freeze,auc_normalized,peak_pck,context_id,flow_mean_nn_eval_to_train_k1,flow_mean_nn_train_to_eval_k1,flow_eval_covered_by_train_eps1px,flow_train_covered_by_eval_eps1px,flow_eval_covered_by_train_eps4px,flow_train_covered_by_eval_eps4px,flow_eval_covered_by_train_eps16px,flow_train_covered_by_eval_eps16px,flow_km_eval_covered_by_train_eps1px_weighted,flow_km_train_covered_by_eval_eps1px_weighted,flow_km_eval_covered_by_train_eps4px_weighted,flow_km_train_covered_by_eval_eps4px_weighted,flow_km_eval_covered_by_train_eps16px_weighted,flow_km_train_covered_by_eval_eps16px_weighted,dino_eval_covered_by_train_qnorm_k1,dino_train_covered_by_eval_qnorm_k1,dino_mean_nn_eval_to_train_k1,dino_mean_nn_train_to_eval_k1,dino_eval_covered_by_train_null80,dino_train_covered_by_eval_null80,dino_eval_covered_by_train_null90,dino_train_covered_by_eval_null90,dino_eval_covered_by_train_null95,dino_train_covered_by_eval_null95,dino_eval_covered_by_train_null99,dino_train_covered_by_eval_null99,flow_fid,flow_sliced_w2,dino_fid,dino_sliced_w2,flow_mmd,dino_mmd,flow_train_isolation,flow_eval_isolation,dino_train_isolation,dino_eval_isolation,flow_kl_train_to_eval_k5,flow_kl_eval_to_train_k5,flow_kl_train_to_eval_k20,flow_kl_eval_to_train_k20,dino_kl_train_to_eval_k5,dino_kl_eval_to_train_k5,dino_kl_train_to_eval_k20,dino_kl_eval_to_train_k20,log_train_n_vectors,log_eval_n_vectors,log_train_n_samples,train_zero_image_frac,log_train_valid_vectors_per_sample,log_train_valid_vectors_per_sample_capped,log_train_sampled_vectors_per_sample,log_train_retained_vectors_per_sample,log_train_valid_vectors_mean,log_train_valid_vectors_median,log_train_valid_vectors_p10,log_train_valid_vectors_p90,log_train_valid_vectors_p95,log_train_sampled_vectors_mean,log_train_sampled_vectors_median,log_eval_n_samples,eval_zero_image_frac,log_eval_valid_vectors_per_sample,log_eval_valid_vectors_per_sample_capped,log_eval_sampled_vectors_per_sample,log_eval_retained_vectors_per_sample,log_eval_valid_vectors_mean,log_eval_valid_vectors_median,log_eval_valid_vectors_p10,log_eval_valid_vectors_p90,log_eval_valid_vectors_p95,log_eval_sampled_vectors_mean,log_eval_sampled_vectors_median,random_train,random_eval
flyingthings,flyingthings,catspp,False,False,57.5787,76.3251,flyingthings_catspp_False_False,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,catspp,False,True,57.09076,76.5009,flyingthings_catspp_False_True,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,catspp,True,False,66.51796999999999,85.2977,flyingthings_catspp_True_False,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,catspp,True,True,66.11575,85.2894,flyingthings_catspp_True_True,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,glunet,False,False,,79.5401,flyingthings_glunet_False_False,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,glunet,False,True,,72.9905,flyingthings_glunet_False_True,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,glunet,True,False,,85.8465,flyingthings_glunet_True_False,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,glunet,True,True,,81.4831,flyingthings_glunet_True_True,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,flyingthings,raft,True,False,57.83034500000001,79.60585,flyingthings_raft_True_False,0.0005626633646897,0.0006225878605619,0.0871137186918978,0.1016584676211265,0.842138085267091,0.8501082728770758,0.989570879554312,0.9901242797412686,0.0,0.0,0.0344694299065002,0.0348066536658962,0.7881358690065432,0.7852380899835216,0.7738566453178632,0.8291558902666039,0.3699512481689453,0.3872929215431213,1.0,1.0,1.0,1.0,1.0,1.0,0.99998,0.999962,26.48967376100899,2.3566505908966064,0.0177213882948471,0.003570040455088,0.0001331698559904,0.0133829333951408,0.0046959778060226,0.0151467463696866,0.7023985877633094,0.6993978553348117,-8.583823552825248,32.645216789502605,-7.897708562883456,33.641040141190246,-8.438420646567025,12.804114092294604,-35.185060014506085,-10.302420608077249,16.29727636379519,16.477140973329043,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,8.852664927703866,0.0,12.476238550037417,9.210440366976515,6.932447891572509,6.932447891572509,12.476238550037417,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932447891572509,6.932447891572509,0.3047170797544313,-0.3521335504882296
flyingthings,kitti2012,catspp,False,False,71.71249999999999,94.359,kitti2012_catspp_False_False,7.363474287558347e-05,0.0591908879578113,0.1181665794136598,0.0041923137626262,0.9511894933956184,0.1364112857922444,0.9999974830863402,0.4714844084381955,0.0003095803801546,0.0005651890996832,0.0316803922358247,0.0361435963180534,0.8882414827641752,0.3817883716668807,0.1819879590850515,0.0402694122304005,0.5685490369796753,0.8828887939453125,1.0,1.0,1.0,1.0,1.0,0.999896,1.0,0.968164,16360.088032576336,63.52986907958984,0.471518852138142,0.0275329444557428,0.0021043834601492,0.0165418689437072,0.0046959778060226,0.0863432343386294,0.7023985877633094,0.617325565053357,-4.289475563590443,-5.581822839689631,-4.307382051670395,-4.968384911814311,98.18861936741358,45.91714211835579,67.55337030887199,19.84050461432873,16.29727636379519,12.89247966213322,8.672999642554437,0.0001711742553919,12.476155508864023,9.210440366976515,6.932276869692982,6.932447891572509,12.476155508864023,12.476653064769003,12.476653064769003,12.476653064769003,12.476653064769003,6.932276869692982,6.932447891572509,5.272999558563747,0.0,9.695787281858747,9.210440366976515,6.932447891572509,6.932447891572509,9.695787281858747,9.7043961648662,9.207777089573018,9.962449616598423,10.057536084289309,6.932447891572509,6.932447891572509,0.3047170797544313,0.5323091855533487
